-0j
(-0.05+45.599999999999994j)
(-0.1+86.4j)
(-0.15000000000000002+122.39999999999999j)
(-0.05-45.599999999999994j)
(-0.1-0j)
(-0.15000000000000002+40.80000000000001j)
(-0.2+76.8j)
(-0.1-86.4j)
(-0.15000000000000002-40.80000000000001j)
(-0.2-0j)
(-0.25+35.999999999999986j)
(-0.15000000000000002-122.39999999999999j)
(-0.2-76.8j)
(-0.25-35.999999999999986j)
(-0.30000000000000004-0j)
