(-2.6020852139652106e-18-1.6318590784106063e-36j),(0+0j),(0+0j)
(-0.0699342862615205-1.9989042431835515j),(0+0j),(1+0j)
(-0.06993428626152089+1.998904243183549j),(1+0j),(0+0j)
(-0.10067959730834025-3.6855003821168253e-35j),(1+0j),(1+0j)
(-0.1299793751386653-1.999175345714207j),(0+0j),(2+0j)
(-0.12997937513866553+1.999175345714208j),(2+0j),(0+0j)
(-0.17+0j),(0+0j),(3+0j)
(-0.17+0j),(3+0j),(0+0j)
(-0.1899004514684637+0.002200497084381966j),(1+0j),(2+0j)
(-0.18990045146846402-0.0022004970843820175j),(2+0j),(1+0j)
(-0.21669585847516065+6.338563972935689e-35j),(2+0j),(2+0j)
(-0.2300206248613346+1.9991753457142067j),(1+0j),(3+0j)
(-0.23002062486133495-1.9991753457142074j),(3+0j),(1+0j)
(-0.29016526227001505-1.9967037460991655j),(3+0j),(2+0j)
(-0.29016526227001527+1.9967037460991668j),(2+0j),(3+0j)
(-0.4026245442164991-2.4898776829777937e-35j),(3+0j),(3+0j)
