(-0.069934290500467+1.0010957583377513j)
(-0.07019711042183903+0.9985829628724087j)
(-0.07098722867162743+0.9910713263809945j)
(-0.07230955416337745-0.9786411145430476j)
(-0.0741720420200451+0.9614261076088916j)
(-0.07658533851248109+0.9396134348750007j)
(-0.07956225530298114-0.9134430006849559j)
(-0.08311705011041993-0.8832061646528467j)
(-0.08726449378491545-0.8492432553977958j)
(-0.09201871510875982+0.8119394328001738j)
(-0.09739183666128409-0.7717183812905424j)
(-0.10339244860513574-0.7290333290074527j)
(-0.11002401021637709+0.6843549526045394j)
(-0.11728331513068031+0.6381558371280769j)
(-0.12515919472654086-0.5908912749844859j)
(-0.133631650775778+0.5429762110918578j)
(-0.14267159023189338+0.49475787614528627j)
(-0.14566242622311057-5.331047411559972e-13j)
(-0.14405562150313228-8.836969107679445e-13j)
(-0.14182597881496228-1.5386473777674134e-13j)
(-0.13909642452486137-2.098090289474338e-12j)
(-0.13598304697502847-9.823280195829309e-13j)
(-0.1325951990524872-1.0199980205610168e-12j)
(-0.12903490976654367+3.312954330797772e-12j)
(-0.12539557335964288+1.073253943642875e-12j)
(-0.11391612972357462-4.8592276951058954e-14j)
(-0.07909729524832053-1.9580568933477865e-13j)
(-0.057969879169625614-2.7625569993950643e-14j)
(-0.04392011669984917-1.3876946329569614e-13j)
(-0.034212652529873565+8.316755106765363e-15j)
(-0.027376012482250564+7.055704961751508e-14j)
(-0.022511662356725547-3.592079107169576e-14j)
(-0.019031209660105318-1.4818544012970853e-13j)
(-0.016533369653549453-5.634217467423728e-14j)
(-0.014737783246731919+2.791075215133492e-14j)
(-0.013445754404654366+1.1982572440452706e-14j)
(-0.012515286777567306-9.925458453013047e-15j)
(-0.011844430471744577-4.779713717471482e-14j)
(-0.011359806726250987-8.914511429714881e-14j)
(-0.011008531266301412+6.921816112213764e-15j)
(-0.010752452747535972-9.568312015452964e-14j)
(-0.010564008050745866-3.555117063733374e-14j)
(-0.010423224579293823+3.2179301674248103e-15j)
(-0.010315543297851117+3.24701639253125e-15j)
(-0.010230230945689972+3.0359498382798e-14j)
(-0.010159214670619981-2.5758909855852712e-14j)
(-0.010096217898868809-3.174264172747215e-14j)
(-0.010036109027299133+4.984455881122634e-14j)
(-0.009974398704358223+3.27206755207422e-14j)
(-0.009906840127389212-3.819523358104022e-14j)
(-0.009829102419171582-3.6891122554915067e-14j)
(-0.009736502101643+1.8662546324961445e-14j)
(-0.00962379426804039+7.890306513159604e-14j)
(-0.009485045382538538+1.7705012936689917e-14j)
(-0.009313634783899169-8.906375356893728e-14j)
(-0.009102459913115705+1.1008552347715196e-14j)
(-0.008844442159471047+4.089497648933474e-14j)
(-0.00853342573511711+5.685334094198041e-14j)
(-0.008165498128928335-5.795192244611626e-14j)
(-0.007740603986673688-8.72933732732146e-14j)
(-0.0072640784764168+2.4860937766999032e-14j)
(-0.006747487807291404+5.955121334738887e-14j)
(-0.0062081361107986476-6.487913540881183e-15j)
(-0.005666966455458479-8.153855412365947e-15j)
(-0.005145283763919485+1.773872588911844e-14j)
(-0.0046613460109019116+3.3103412543129667e-15j)
(-0.004227944485797326-3.838286786279578e-14j)
(-0.003851565895491711-1.481730693768574e-14j)
(-0.003533004337143717+3.025455924867292e-14j)
(-0.0032688288484424184+6.347374711706072e-14j)
(-0.003053058855263692+6.997142466685849e-14j)
(-0.0028786081319438174+4.73352591896665e-14j)
(-0.002738315465761709-7.144608864885893e-14j)
(-0.0026255636215484304+2.183989272138594e-14j)
(-0.0025345749528363428-4.3483938297859135e-14j)
(-0.002460489874321204+2.1346133743843233e-14j)
(-0.0023993183241151415+1.0053595790879931e-13j)
(-0.002347828396568492-3.1633652677722734e-14j)
(-0.002303412524977147+2.6865058824955192e-14j)
(-0.0022639538714199128+5.2549304792731934e-14j)
(-0.0022277039938868566+3.4957017608770616e-14j)
(-0.0021931760980014787-6.342791999643019e-14j)
(-0.002159054812099414+3.061726234078885e-16j)
(-0.0021241223411228617+6.25899919505361e-15j)
(-0.0020872013205180807-1.1470045381475424e-13j)
(-0.0020471162481437988+2.2106598231375785e-14j)
(-0.0020026776366577964-5.864520561782562e-15j)
(-0.0019526954958184021+1.6994604361507172e-14j)
(-0.0018960304193422297-1.6970874371970576e-14j)
(-0.0018316897270079806-4.2732116386267777e-14j)
(-0.0017589704194685971-1.971740282950057e-14j)
(-0.0016776379381650485+3.6533737396136114e-14j)
(-0.0015881099739798459-2.2701093791629926e-14j)
(-0.001491593200112094+4.449987142610723e-14j)
(-0.0013901098518948705-4.489879957253853e-14j)
(-0.0012863651410992482-1.567161605147148e-14j)
(-0.0011834514442070326+4.746202879903774e-14j)
(-0.0010844469099005702-7.241315593772399e-14j)
(-0.0009920125928961647-9.233929058390752e-14j)
(-0.0009080946507663561+7.235361778545223e-14j)
(-0.0008337943369057559+2.9972240333815445e-14j)
