(-0.05+1j)
(-0.05021869548661418+0.9974940612786315j)
(-0.05087616988450099-0.9900033677309984j)
(-0.051976531357796237-0.9776093254757183j)
(-0.05352643757293585+0.9604476911649885j)
(-0.055534799053420375+0.938708524620169j)
(-0.05801234023869283-0.9126357901114995j)
(-0.060970999338598175-0.8825262801228793j)
(-0.06442315040242261+0.8487274572843035j)
(-0.06838064035767583-0.811633753129025j)
(-0.07285365199618275-0.7716808404267848j)
(-0.07784943169460952+0.7293374243983908j)
(-0.08337095637641286-0.6850941895067035j)
(-0.08941565266309316-0.6394496937289595j)
(-0.09597431328903153-0.5928931997116005j)
(-0.103030369980076+0.545884613864893j)
(-0.11055966708037919-0.4988317580880624j)
(-0.11853083063401035+0.452064928777378j)
(-0.12690624763454042+0.4058077504847757j)
(-0.1302601911750817-4.684092777593985j)
(-0.1335713064926157-4.82587656028882j)
(-0.1298919429357-3.944013330825998e-13j)
(-0.12463102019315217+3.463271310960833e-12j)
(-0.1194867742165109-2.42332200252972e-12j)
(-0.11453043179418301-4.654828482040156e-12j)
(-0.10981854410939926-1.9447490831524106e-12j)
(-0.09078639615770491-7.539737897038388e-16j)
(-0.060104969675510024+9.075743409033721e-14j)
(-0.04156447643032736+1.0485055299396397e-13j)
(-0.029285686428581623-1.0038740306058347e-13j)
(-0.02083551057089921-3.267598732484047e-13j)
(-0.014906879917672157+1.90845655143296e-13j)
(-0.010703832195908428+1.9109416409158822e-13j)
(-0.007706977958375592+7.405274939450601e-14j)
(-0.005563476680763934+2.39013695931757e-13j)
(-0.004027811892972846-2.9790012992732235e-13j)
(-0.0029266864531106366-4.323769137495051e-15j)
(-0.0021367542035061428-3.4536382547951135e-13j)
(-0.0015698153488985453+1.7804895451182404e-13j)
(-0.0011626576589874225+4.774363293817249e-14j)
(-0.0008699401875356085+1.4002157875966318e-13j)
(-0.0006591432199543334+1.6896143657893736e-13j)
(-0.0005069567095604536-9.52268255821608e-15j)
(-0.00039668651683372544+5.127419701359202e-14j)
(-0.00031638801937475345+1.9794302890847322e-13j)
(-0.0002575225067046819-1.6050812576254167e-13j)
(-0.00021399035738348641+3.2150989805386957e-15j)
(-0.00018143603518122646-3.863141406852916e-13j)
(-0.0001567491129163367-6.149199651315781e-14j)
(-0.00013770653205590132+1.2304397961660634e-13j)
(-0.00012271648707708828+3.786294598878921e-14j)
(-0.00011063534598145514-4.4441139131908254e-14j)
(-0.00010063702578897757-3.2356518861904046e-15j)
(-9.212009087825623e-05+1.3931145095821616e-13j)
(-8.464210286595601e-05-1.342857665289438e-13j)
(-7.787387716420055e-05+1.5610261051675752e-13j)
(-7.156857282780986e-05-1.4347938309899624e-13j)
(-6.554214452504565e-05+1.7905721417385493e-13j)
(-5.9662650057290914e-05-4.576741268592885e-13j)
(-5.3846248637016614e-05+3.5704613406002605e-14j)
(-4.805738568028195e-05+1.1278042051875226e-13j)
(-4.230983587511866e-05+2.002318747211194e-13j)
(-3.66645522037815e-05+1.48342108279074e-13j)
(-3.1220626855271456e-05+2.998228345200885e-14j)
(-2.609796912818116e-05+2.475002147608636e-13j)
(-2.1414227168705456e-05-1.133541701289789e-13j)
(-1.7262034693002118e-05+2.3975530342294854e-13j)
(-1.3693385996852324e-05-1.2904933210067686e-13j)
(-1.0715076511193047e-05+2.1931934630998255e-13j)
(-8.294536082618039e-06-3.062694742000686e-13j)
(-6.371940612698286e-06-8.327570667216791e-15j)
(-4.87369955114201e-06+1.3212329260996051e-13j)
(-3.723779021768135e-06+1.2408768136747316e-13j)
(-2.8513584283324358e-06+9.513007340859607e-14j)
(-2.1948997827474564e-06+1.971224857168569e-13j)
(-1.7034997157082438e-06-1.8162409751475704e-13j)
(-1.336529754472882e-06+9.63721907260383e-14j)
(-1.0624070866080058e-06-1.1908877789158394e-13j)
(-8.570545447827188e-07-5.924300454230554e-14j)
(-7.023785951944754e-07-2.0857167603221106e-13j)
(-5.849248999161144e-07-4.9272932836729645e-14j)
(-4.947623509891459e-07+4.386063677267085e-14j)
(-4.245978855294193e-07+3.4130573067211715e-13j)
(-3.6908903434706987e-07-1.8306789054064824e-13j)
(-3.2432791831843527e-07-1.0300922324311114e-13j)
(-2.8745308563389465e-07-2.8821324537436795e-13j)
(-2.563660585257601e-07+1.4711326170065975e-13j)
(-2.2952469628659288e-07+2.858351489781273e-13j)
(-2.0579470792890998e-07+2.4407123352689667e-13j)
(-1.843476476991285e-07-1.015449042681089e-13j)
(-1.645909958486906e-07-1.5941731471624582e-14j)
(-1.4611974551032874e-07+8.035521990978616e-14j)
(-1.2868770238470315e-07-1.7018064616713862e-14j)
(-1.1218504750371465e-07+2.4855741958417536e-14j)
(-9.661514329141299e-08-1.6379484645784641e-13j)
(-8.20673620575863e-08-7.36644674192001e-14j)
(-6.868141803051428e-08+9.874098237958926e-14j)
(-5.660513256314277e-08+3.932509972084278e-14j)
(-4.5954442607012554e-08-2.2287403344448075e-13j)
(-3.678468593476372e-08-6.473573218032008e-14j)
(-2.9077462740091452e-08+1.7354013761653355e-13j)
