(3.0904660457974055e-17+0j)
(-0.050111356150385096+0.9999999999999986j)
(-0.050111356150385096-0.9999999999999986j)
(-0.10017539746653602+0j)
(-0.10083442054541698+2.000000000000002j)
(-0.100834420545418-1.9999999999999982j)
(-0.15370852997763285+3.000000000000007j)
(-0.15370852997763512-3.000000000000001j)
(-0.15392693993155782+1j)
(-0.15392693993155782-1j)
(-0.20531320935870895+0j)
(-0.21145582282762307-3.9999999999999885j)
(-0.211455822827624+3.999999999999985j)
(-0.21379120377388292-1.9999999999999916j)
(-0.21379120377389008+1.9999999999999942j)
(-0.2775392535898132+4.999999999999991j)
(-0.27753925358981457-4.999999999999999j)
(-0.2797985337498628-0.9999999999999994j)
(-0.2797985337498628+0.9999999999999994j)
(-0.2848396031493994+2.9999999999999876j)
(-0.28483960314940004-2.9999999999999973j)
(-0.33609382453222514+0j)
(-0.35574419124095136-6.000000000000007j)
(-0.355744191240953+6.000000000000012j)
(-0.36548987417419315-2.0000000000000044j)
(-0.36548987417419454+2.0000000000000155j)
(-0.37146372996371857+3.99999999999999j)
(-0.3714637299637211-3.9999999999999893j)
(-0.44999999999999757+6.999999999999985j)
(-0.4499999999999995-6.9999999999999964j)
(-0.45034322577512836+0.9999999999999996j)
(-0.45034322577512836-0.9999999999999996j)
(-0.47137929442240356-2.9999999999999996j)
(-0.4713792944224054+3j)
(-0.47888921705618115+4.9999999999999885j)
(-0.4788892170561876-4.999999999999987j)
(-0.5142593455674807+0j)
(-0.5639923372772305-7.999999999999987j)
(-0.5639923372772361+7.9999999999999964j)
(-0.5737725752452105+2j)
(-0.5737725752452132-2.0000000000000027j)
(-0.6033781127586699-3.9999999999999867j)
(-0.6033781127586771+4.000000000000007j)
(-0.6156890228681194+5.999999999999994j)
(-0.6156890228681263-6.000000000000027j)
(-0.6773275066019375+1.0000000000000007j)
(-0.6773275066019375-1.0000000000000007j)
(-0.7000000000000001+9j)
(-0.7000000000000001-9j)
(-0.7270570386399021-2.999999999999997j)
(-0.727057038639903+3.000000000000009j)
(-0.7503022996437881+0j)
(-0.7721232009829124-5.000000000000005j)
(-0.7721232009829201+4.999999999999995j)
(-0.7999999999999996+6.999999999999994j)
(-0.7999999999999996-6.999999999999994j)
(-0.8495950251896471-1.9999999999999998j)
(-0.8495950251896475+1.9999999999999998j)
(-0.9220845076206332+3.999999999999993j)
(-0.9220845076206394-3.9999999999999973j)
(-0.9710147134852201-1.0000000000000013j)
(-0.9710147134852201+1.0000000000000013j)
(-0.9999999999999927+5.999999999999977j)
(-1.0000000000000016-6.000000000000014j)
(-1.0541400329695458+0j)
(-1.067362078103351+2.999999999999993j)
(-1.0673620781033524-3.000000000000008j)
(-1.0860076627227637+7.999999999999999j)
(-1.0860076627227675-7.999999999999988j)
(-1.1834740534176853+5.000000000000008j)
(-1.1834740534176855-4.999999999999994j)
(-1.2090652188427429-2.000000000000005j)
(-1.2090652188427498+2.0000000000000013j)
(-1.347927571426795-1.0000000000000009j)
(-1.347927571426795+1.0000000000000009j)
(-1.3499999999999968+6.99999999999999j)
(-1.3499999999999994-7.0000000000000036j)
(-1.3567298661417642+3.999999999999987j)
(-1.3567298661417644-3.99999999999998j)
(-1.4422354222377713+0j)
(-1.5228339021404995+2.999999999999994j)
(-1.5228339021405066-2.9999999999999996j)
(-1.578566785890934-6.000000000000013j)
(-1.5785667858909362+6.000000000000006j)
(-1.6835620966655154+1.9999999999999916j)
(-1.6835620966655294-2.0000000000000004j)
(-1.7879742749533984-5.000000000000003j)
(-1.7879742749533998+4.999999999999986j)
(-1.8400549170507507-0.9999999999999988j)
(-1.8400549170507507+0.9999999999999988j)
(-1.94676825266631+0j)
(-1.9848879606875567+3.9999999999999893j)
(-1.9848879606875574-3.9999999999999862j)
(-2.172819553566805-3.000000000000004j)
(-2.172819553566808+3.00000000000001j)
(-2.3538895855633752+1.9999999999999987j)
(-2.3538895855633832-2.000000000000008j)
(-2.529495235828368+1.000000000000001j)
(-2.529495235828368-1.000000000000001j)
(-2.650712215557629+0j)
