(5.204170427930421e-18-5.358219230816394e-20j),(0+0j),(0+0j)
(-0.08983307655800651-1.9976131154638512j),(0+0j),(1+0j)
(-0.08983307655800678+1.9976131154638543j),(1+0j),(0+0j)
(-0.10339348312574721-1.04702331995941e-18j),(1+0j),(1+0j)
(-0.15995496739295967-1.9982003166070819j),(0+0j),(2+0j)
(-0.15995496739295967+1.9982003166070808j),(2+0j),(0+0j)
(-0.18999999999999997+0j),(0+0j),(3+0j)
(-0.18999999999999997+0j),(3+0j),(0+0j)
(-0.2298046171439724+0.0048165782760646375j),(1+0j),(2+0j)
(-0.22980461714397263-0.004816578276064695j),(2+0j),(1+0j)
(-0.2441758897863803-1.6070218767529916e-18j),(2+0j),(2+0j)
(-0.2600450326070404+1.998200316607081j),(1+0j),(3+0j)
(-0.26004503260704054-1.998200316607082j),(3+0j),(1+0j)
(-0.33036230629802066+1.9927965371877858j),(2+0j),(3+0j)
(-0.3303623062980212-1.9927965371877858j),(3+0j),(2+0j)
(-0.4924306270878723+2.7076273890205624e-18j),(3+0j),(3+0j)
