0j,(-0.05-1j),(-0.05+1j),(-0.1+0j),(-0.10000000000000003+0j),(-0.10000000000000003+0j),(-0.15+3j),(-0.15-3j),(-0.15000000000000002+1j),(-0.15000000000000002-1j),(-0.19999999999999998+4j),(-0.19999999999999998-4j),(-0.2-8j)
(-3.2535511029367477e-15+2.231270332039113e-14j),(-0.050020290667523434-1.0000014831649935j),(-0.050020290667556394+1.0000014831650392j),(-0.09999990611237954-4.232182162006104e-15j),(-0.10000006571195215+0.002825777353035597j),(-0.10000006571198738-0.002825777352942056j),(-0.14997980307944403-0.999999979043243j),(-0.1499798030794738+0.9999999790433084j),(-0.15001998589804025+2.99999983401621j),(-0.15001998589807308-2.999999834016254j),(-0.20000001381163848+4.000001331989264j),(-0.20000001381165003-4.000001331989274j),(-0.2000001125572512-6.518193362148726e-14j)
(-1.967423747407745e-14-4.5599798264016026e-14j),(-0.050081211887333374-1.0000059363218503j),(-0.050081211887345746+1.000005936321813j),(-0.0999996244523061-7.087158912435384e-14j),(-0.10000026239685213-0.005651563471053889j),(-0.10000026239687977+0.005651563470690958j),(-0.1499191631004666-0.9999999125089255j),(-0.14991916310047917+0.9999999125089771j),(-0.1500799916244534+2.999999332461603j),(-0.15007999162449026-2.9999993324617753j),(-0.20000005524653647-4.000005327954622j),(-0.20000005524657963+4.000005327954743j),(-0.20000045112790343-7.426888693793261e-14j)
(-9.520046608642591e-15-3.0635618166270986e-14j),(-0.050182911909732515-1.0000133705229024j),(-0.050182911909752236+1.0000133705227723j),(-0.09999915502810584+1.6049488680748123e-13j),(-0.100000588714488-0.0084773669917167j),(-0.10000058871451988+0.008477366991533212j),(-0.14981793181170883-0.9999997893372683j),(-0.14981793181172343+0.9999997893372116j),(-0.15018016185363867-2.9999984844613135j),(-0.15018016185364055+2.9999984844611305j),(-0.2000001243047843+4.000011987889621j),(-0.2000001243047866-4.000011987889543j),(-0.20000101838335715-3.4740700980342443e-14j)
(3.5364099739302575e-14-4.405650006967597e-15j),(-0.050325639832594436+1.0000238044149836j),(-0.050325639832613664-1.0000238044149161j),(-0.09999849785360854-3.7622060759392637e-14j),(-0.10000104246518446+0.011303196304901026j),(-0.10000104246518719-0.011303196304967638j),(-0.1496758601137497+0.9999995908690156j),(-0.14967586011375986-0.9999995908690421j),(-0.15032073965073753+2.9999972716698684j),(-0.15032073965075662-2.999997271669919j),(-0.2000002209862378-4.000021311782484j),(-0.20000022098626757+4.0000213117824535j),(-0.2000018187079782+1.2211577823399856e-13j)
(-2.3642646766439965e-14-2.596055331086892e-15j),(-0.050509748682784225+1.0000372645884872j),(-0.050509748682801954-1.000037264588527j),(-0.0999976529481556-2.0062351508741583e-14j),(-0.10000162064285696+0.014129059437255806j),(-0.10000162064290043-0.014129059437171104j),(-0.14949259497748693+0.9999992904970225j),(-0.14949259497751483-0.9999992904970271j),(-0.1505020694418211+2.9999956679340545j),(-0.1505020694418466-2.999995667934062j),(-0.2000003452910511-4.000033299617333j),(-0.20000034529111807+4.000033299617345j),(-0.20000285809252685+1.4065978330475297e-13j)
(3.4334730345246614e-14-5.1138525580617666e-14j),(-0.05073569985490735-1.0000537860840166j),(-0.050735699854914815+1.0000537860840812j),(-0.09999662033668677-7.721408152278327e-14j),(-0.10000231950239388-0.016954963949477996j),(-0.10000231950240991+0.016954963949408302j),(-0.1492676750055436+0.999998853158664j),(-0.1492676750055624-0.999998853158736j),(-0.15072460128982162-2.999993638799653j),(-0.15072460128983042+2.9999936387996105j),(-0.20000049721915075+4.000047951373421j),(-0.20000049721918103-4.000047951373648j),(-0.20000414400043648+5.192050702506247e-14j)
(1.5502666293711592e-14-1.882254279695261e-14j),(-0.05100406903930918+1.0000734130780449j),(-0.05100406903935526-1.0000734130779536j),(-0.09999540004970024+2.851677723213167e-13j),(-0.10000313464352559-0.019780916849165754j),(-0.10000313464361256+0.019780916849256733j),(-0.14900052450414064-0.999998234650577j),(-0.14900052450414236+0.9999982346506893j),(-0.15098889660309936-2.999991140846688j),(-0.15098889660311912+2.9999911408467272j),(-0.2000006767705623-4.0000652670259695j),(-0.20000067677059769+4.000065267026083j),(-0.2000056851986444-5.61168035065396e-14j)
(-1.4506768085355925e-14-5.499572849371239e-14j),(-0.05131555382188222+1.000096199776365j),(-0.05131555382188681-1.0000961997763462j),(-0.09999399212309376-3.0940932549938276e-14j),(-0.10000406110528093+0.02260692451874379j),(-0.10000406110536907-0.02260692451871653j),(-0.14869044588326877+0.9999973807352056j),(-0.1486904458833047-0.9999973807352158j),(-0.15129563544953056-2.9999881208240455j),(-0.15129563544953112+2.999988120824055j),(-0.20000088394533688+4.000085246545509j),(-0.20000088394534812-4.0000852465455345j),(-0.20000749157030845-1.425667480410645e-13j)
(-4.768970600368531e-15+5.802019116481446e-14j),(-0.05167098319757397+1.000122211553112j),(-0.051670983197602056-1.0001222115531943j),(-0.09999239659840142-1.3635476729732902e-13j),(-0.10000509346729056+0.025432992662833578j),(-0.10000509346729668-0.02543299266287936j),(-0.14833661014333274+0.9999962260018765j),(-0.14833661014335453-0.9999962260019213j),(-0.15164562570554851+2.9999845145460555j),(-0.15164562570555923-2.999984514546012j),(-0.20000111874340934-4.0001078898972136j),(-0.2000011187434275+4.000107889897161j),(-0.20000957391055715+5.5474900670976394e-14j)
(-3.143887781566547e-14-1.9805820935045503e-13j),(-0.05207132931415464+1.0001515263880663j),(-0.05207132931416345-1.000151526387976j),(-0.09999061352265862+3.610867076561999e-14j),(-0.10000622595615256+0.02825912627227064j),(-0.100006225956212-0.02825912627206531j),(-0.14793804513121078-0.9999946924295076j),(-0.14793804513122122+0.999994692429493j),(-0.15203981434085315+2.9999802455024476j),(-0.15203981434085564-2.999980245502418j),(-0.20000138116488028+4.000133197042522j),(-0.20000138116490956-4.000133197042594j),(-0.20001194371485806-3.505314791899679e-14j)
(2.966257889514156e-14-1.8556698280875995e-14j),(-0.05251772185717863-1.0001842366700535j),(-0.05251772185720929+1.0001842366699922j),(-0.09998864294837377-4.327592626515063e-14j),(-0.10000745255189075-0.031085329607276724j),(-0.10000745255190097+0.03108532960700873j),(-0.1474936211553734+0.9999926875826204j),(-0.1474936211553872-0.9999926875826426j),(-0.15247930122733125+2.999975223115902j),(-0.15247930122733325-2.999975223115959j),(-0.20000167120972384-4.000161167938134j),(-0.20000167120974738+4.0001611679382725j),(-0.20001461296592604-3.815315245503459e-15j)
(3.333003983858807e-14-6.7458451078190274e-15j),(-0.05301146560836208+1.000220451461138j),(-0.05301146560837648-1.0002204514610575j),(-0.09998648493361055-1.1623676894603806e-13j),(-0.10000876709022788+0.0339116061982915j),(-0.1000087670903483-0.03391160619815734j),(-0.14700203342762003+0.9999901023482575j),(-0.14700203342764903-0.9999901023481511j),(-0.15296535597562722-2.9999693405586005j),(-0.1529653559756285+2.999969340558682j),(-0.20000198887794257+4.000191802536194j),(-0.2000019888779646-4.000191802536071j),(-0.20001759392847843-9.506561019824938e-14j)
(1.5517386429284293e-14+6.013039879005013e-14j),(-0.05355406186809495+1.0002602993431309j),(-0.05355406186810376-1.000260299343006j),(-0.09998413954192026+7.15048239839869e-14j),(-0.10001016336156905+0.03673795886043853j),(-0.10001016336158539-0.036737958860474616j),(-0.14646178064028795+0.9999868080881931j),(-0.146461780640306-0.9999868080881663j),(-0.1534994384512058+2.9999624720100644j),(-0.15349943845122052-2.9999624720099956j),(-0.20000233416961663+4.000225100783921j),(-0.20000233416963148-4.000225100783948j),(-0.2000208989525671-1.833263050803406e-13j)
