(-0.05+0j)
(-0.040677384652953064-3.9780130350133065e-13j)
(-0.03266240341244351-1.864341885364305e-15j)
(-0.02589317844877936-2.424524018750199e-13j)
(-0.020275461662649482+2.470724562297699e-13j)
(-0.015691836024497148+3.508960327964529e-13j)
(-0.012011901873128498-3.9296698536818286e-13j)
(-0.009101931465185249-4.379233835943623e-14j)
(-0.006832873912228559-2.240970952457871e-13j)
(-0.0050861282131517355+3.4807996254785757e-13j)
(-0.003757006854594166-1.6608966926785448e-13j)
(-0.0027561771810968175-3.5190611893425715e-14j)
(-0.002009558138198319-1.783059590976542e-13j)
(-0.0014571899278074776+2.563408383595358e-13j)
(-0.0010515349978921372+3.1444782133499776e-15j)
(-0.0007555631421637108+4.6984823284815644e-14j)
(-0.0005408604891093048-3.6006438593457977e-14j)
(-0.00038590428120346076+4.652638617489519e-13j)
(-0.00027457137137008696-2.1510701247355882e-13j)
(-0.0001948984024315696+2.451755195601871e-13j)
(-0.00013808157343641128-1.609309824401534e-13j)
(-9.768843930368089e-05+4.6206277983685833e-14j)
(-6.904840478024599e-05-9.001858811473101e-14j)
(-4.878860057616261e-05-5.132026459329035e-14j)
(-3.448494106372642e-05-1.188954590746849e-13j)
(-2.4402561643248102e-05-7.130104044750383e-14j)
(-1.730447023802731e-05+2.8177338873654598e-14j)
(-1.2311569401989237e-05+3.3936916317178e-14j)
(-8.8009302411637e-06+1.0152146218393607e-13j)
(-6.332284615300641e-06+4.554003161099111e-13j)
(-4.5951753257856635e-06+2.7929172725009484e-13j)
(-3.3711212935969044e-06+3.0045686928260427e-13j)
(-2.506637752831859e-06+2.0965575978191976e-13j)
(-1.8940612678912343e-06+1.1108309214322887e-13j)
(-1.4579632135508354e-06+5.680142712674209e-14j)
(-1.1455496343340115e-06+3.947706881186328e-15j)
(-9.198927121217646e-07-9.300405137830628e-15j)
(-7.55169029185841e-07+2.414349335962535e-13j)
(-6.333168618681668e-07-1.1246958305611597e-13j)
(-5.416930536404577e-07+1.1107953714626336e-13j)
(-4.714310117219091e-07-1.904423586128681e-13j)
(-4.1629536089338766e-07+1.2656777242083563e-14j)
(-3.7188112734417244e-07+7.879648916003578e-14j)
(-3.3505509256882833e-07-2.0304325276852645e-13j)
(-3.03569958992084e-07-9.665130525508026e-14j)
(-2.757978341781717e-07-2.5604083177613616e-13j)
(-2.50551566760421e-07+6.88877961179456e-14j)
(-2.2696887898112584e-07+2.8923470399664884e-14j)
(-2.0444213124451173e-07-8.738193102368534e-14j)
(-1.8258513779581401e-07-1.268091186448371e-13j)
(-1.6121651133162156e-07-7.58239080168492e-14j)
(-1.4035243581097875e-07+2.5709615842254013e-15j)
(-1.201860219092361e-07-2.0317230349670502e-13j)
(-1.0104506889092135e-07+4.875306649324655e-13j)
(-8.331917293811232e-08+1.9028776757164306e-13j)
(-6.737451639793905e-08-2.2621408226895185e-14j)
(-5.3472406862232677e-08-3.4777716704683305e-14j)
(-4.1724395881663857e-08+1.3928526842337637e-13j)
(-3.20846247677567e-08-1.3789892370909528e-13j)
(-2.438195780703439e-08+1.6493030723698446e-13j)
(-1.836533010733276e-08-2.6523755280138405e-13j)
(-1.3754037098366491e-08+4.9308267038309594e-14j)
(-1.0272599385499499e-08+8.235318818220436e-14j)
(-7.674552432676502e-09+2.1084066720173213e-13j)
(-5.751991783246116e-09+1.1717815924077948e-13j)
(-4.336883520381478e-09-1.304276076837611e-14j)
(-3.2988341044899326e-09-3.3459431651032944e-14j)
(-2.537941327003352e-09+1.2814419051132324e-13j)
(-1.9787980432586364e-09-1.6200270777819454e-13j)
(-1.5669435730327048e-09+1.6635394310933874e-13j)
(-1.2612347995970554e-09+1.5928971626434878e-13j)
(-1.0327483885512596e-09+2.79426280585422e-14j)
(-8.597833740567979e-10+2.0770829720248222e-13j)
(-7.272029560386824e-10-2.4907193523897e-13j)
(-6.237835469087866e-10+1.1434208706564414e-13j)
(-5.417122283778214e-10+6.350210479930861e-14j)
(-4.749075011524561e-10-6.134097044747245e-14j)
(-4.192694502534004e-10-2.5590268281058253e-13j)
(-3.7191132120341647e-10-8.603962656698542e-14j)
(-3.304484434512454e-10-7.827545601203627e-14j)
(-2.934057052199713e-10-1.6375330882068913e-13j)
(-2.6002566135179224e-10-8.374897593200734e-14j)
(-2.2878771740287877e-10-1.8069610863728828e-14j)
(-2.000190972637343e-10-2.198425217123821e-13j)
(-1.7269598808229614e-10-1.4726395532635866e-14j)
(-1.4742722316725675e-10-1.2768947821117232e-13j)
(-1.240381042154506e-10-2.0021917134135403e-13j)
(-1.0289144072718154e-10-1.5621109689610646e-13j)
(-8.37713887958124e-11+5.021269052083811e-14j)
(-6.737012663147833e-11+1.2594408480612645e-13j)
(-5.32355885941006e-11-3.4120649186223734e-13j)
(-4.167012421202692e-11+1.0288957301748008e-13j)
(-3.225598043887067e-11+4.5742509788359984e-14j)
(-2.4562722873831642e-11+1.2041819494853667e-13j)
(-1.8777393741469168e-11-9.666668876387869e-14j)
(-1.4305377312931611e-11-6.257893075856271e-14j)
(-1.0621302265510212e-11-6.288338350302565e-14j)
(-8.206901786018326e-12-1.5298049209227056e-13j)
(-6.244366701432426e-12+1.2546144521101246e-13j)
(-4.691020952673033e-12+3.1016304802641063e-13j)
(-3.669411040806096e-12-5.904964808829752e-14j)
