0j,(-0.05-1j),(-0.05+1j),(-0.1+0j),(-0.10000000000000003+0j),(-0.10000000000000003+0j),(-0.15-3j),(-0.15+3j),(-0.15000000000000002-1j),(-0.15000000000000002+1j),(-0.19999999999999998-4j),(-0.19999999999999998+4j),(-0.2+8j),(-0.2-8j),(-0.20000000000000007+0j),(-0.25+9j),(-0.25-3j),(-0.25-9j),(-0.25+3j),(-0.25000000000000006+15j)
(4.924477560170191e-13+3.4860772015345773e-13j),(-0.09826152978597502+1.0524713845015092j),(-0.09826152978626164-1.0524713845019207j),(-0.09976671124562891-6.27454199255256e-13j),(-0.10008590068840857-0.1413609930770738j),(-0.10008590068879579+0.14136099307685507j),(-0.10197267496555144-0.951182866904989j),(-0.10197267496564338+0.9511828669050889j),(-0.1980950110699225+2.951419251390272j),(-0.19809501107027272-2.9514192513911697j),(-0.2000345296189703+4.003328785671745j),(-0.20003452961907336-4.00332878567245j),(-0.20043657330412207+3.016432626887473e-13j),(-0.20183397336822628-3.0514927975693262j),(-0.20183397336847048+3.0514927975694235j),(-0.2481323130874018+7.950921266323653j),(-0.24813231308740832-7.950921266323486j),(-0.25007600852607187+9.002808896041872j),(-0.2500760085260963-9.002808896042108j),(-0.25187938901333135-8.050952403024912j)
(-1.6205263330615656e-14-1.3450223998351993e-13j),(-0.09764728864939783+1.1406096708813362j),(-0.0976472886494556-1.140609670881023j),(-0.09908348696123756+1.845949634395345e-13j),(-0.10023925778592248+0.2828594588670595j),(-0.10023925778600329-0.28285945886729896j),(-0.10328758562641867-0.8739921290119288j),(-0.10328758562650377+0.8739921290119314j),(-0.1970321508837406+2.873444312023725j),(-0.1970321508838481-2.8734443120236786j),(-0.2001381245981191+4.013300933505788j),(-0.20013812459836533-4.013300933505275j),(-0.20193626019695302-6.024490947796813e-13j),(-0.20268565938094288-3.1381895759148892j),(-0.2026856593809682+3.13818957591502j),(-0.24719116583182948+7.871405656786936j),(-0.24719116583215725-7.8714056567866395j),(-0.2503031041088864-9.011228426250863j),(-0.25030310410893897+9.011228426251137j),(-0.2528556677877043-8.136088584433804j)
(4.4366785932725697e-13-1.22209058258633e-13j),(-0.09697621933236401+1.2241853644801723j),(-0.09697621933251246-1.224185364480103j),(-0.09799660279673279-4.958134912363199e-13j),(-0.10047656151942613-0.4245550927647019j),(-0.10047656151961204+0.42455509276614756j),(-0.10512003050748964-0.8086119038232876j),(-0.10512003050751564+0.8086119038230687j),(-0.1956067140284097+2.8066614577635605j),(-0.19560671402855273-2.8066614577633526j),(-0.20031080267720822+4.029874159115027j),(-0.20031080267735746-4.029874159115376j),(-0.2037653066045282-3.2194614969667485j),(-0.20376530660454867+3.2194614969670896j),(-0.20441320142104205-8.761348189271253e-14j),(-0.24596587855748006-7.802072748069551j),(-0.24596587855762914+7.80207274807043j),(-0.2506785319083422-9.025237291874175j),(-0.25067853190844736+9.025237291874j),(-0.2541395911662248-8.214787675370657j)
(2.1575880146984087e-14-6.244381542168292e-13j),(-0.09649665700968832-1.3099124584748398j),(-0.09649665700982883+1.3099124584746702j),(-0.09657267653417047-3.304172715836161e-13j),(-0.10080509679619774-0.5665492300801673j),(-0.10080509679626215+0.5665492300802889j),(-0.1072123241732473-0.7482533473223427j),(-0.10721232417328004+0.7482533473226435j),(-0.19408370413370973-2.744215594528224j),(-0.1940837041338307+2.744215594528342j),(-0.20055259139500325-4.052979113498245j),(-0.20055259139525547+4.0529791134977335j),(-0.2048169059789704-3.3020939092109156j),(-0.20481690597907237+3.302093909210577j),(-0.20777533300925513+8.345564446073129e-13j),(-0.24471791408966428-7.7360973152400705j),(-0.24471791408981247+7.7360973152392045j),(-0.2511978150262119-9.044800569002511j),(-0.25119781502627664+9.044800569002156j),(-0.25546981999850155+8.29387280140047j)
(-2.1122286514214152e-13+3.495357424081825e-13j),(-0.09488748630886537-1.8819711266000802e-13j),(-0.09622707847383595-1.3988067603399064j),(-0.09622707847385055+1.3988067603397014j),(-0.10122605840104246-0.7089417704270258j),(-0.10122605840174502+0.7089417704262443j),(-0.1095334075742296-0.6917974131124149j),(-0.10953340757427113+0.691797413112423j),(-0.19249428123655296-2.684998755720542j),(-0.19249428123661838+2.6849987557208923j),(-0.2008635252763673-4.0825210060516j),(-0.20086352527667678+4.082521006051918j),(-0.20582138933277075-3.3870995945922338j),(-0.2058213893328221+3.387099594592357j),(-0.21192973075335658+7.690841028983518e-14j),(-0.24347268285108792+7.672416141287644j),(-0.24347268285114934-7.67241614128732j),(-0.25185491730198994-9.069870537885949j),(-0.25185491730206777+9.069870537886006j),(-0.2568211136639911-8.374404353903156j)
(1.3503159303294673e-13+4.517403220838536e-14j),(-0.09301633813468521+4.781169492042705e-13j),(-0.09616747057902228-1.4911802413082778j),(-0.09616747057904572+1.4911802413084245j),(-0.10173955434012533+0.8518306469722631j),(-0.10173955434042073-0.8518306469725203j),(-0.11206796669376085-0.6388018487963218j),(-0.1120679666938282+0.6388018487965199j),(-0.19085333638665716+2.6285884794303804j),(-0.19085333638668722-2.628588479430353j),(-0.20124364231502234-4.118381754291089j),(-0.20124364231516184+4.118381754290909j),(-0.2067785752941575+3.474782767421201j),(-0.20677857529417037-3.474782767421532j),(-0.21678261981322508-2.438965814867545e-12j),(-0.24223803959747078-7.610662709486268j),(-0.24223803959749302+7.6106627094866095j),(-0.252642454428788-9.100387783626822j),(-0.25264245442886735+9.100387783627362j),(-0.25818583005649437+8.456745410040067j)
(-1.787698059347797e-14+4.715615172834464e-13j),(-0.09102765500847299-8.651335118959495e-13j),(-0.0963128729741303+1.5871490626487046j),(-0.09631287297419697-1.5871490626483316j),(-0.10234538482857573+0.9953119121392223j),(-0.10234538482871587-0.9953119121392029j),(-0.11480351224591291-0.5889945601051287j),(-0.11480351224594829+0.5889945601050618j),(-0.189172561756271+2.574738030332935j),(-0.18917256175639374-2.574738030333821j),(-0.20169298008967917-4.16042255151412j),(-0.20169298008982756+4.1604225515131565j),(-0.20769348665194734-3.5652518524427497j),(-0.20769348665194923+3.5652518524429397j),(-0.2222446361213655+1.638644597991484e-13j),(-0.24101775109733076-7.550655636515569j),(-0.24101775109745316+7.550655636515838j),(-0.25355193899190137-9.13628251462653j),(-0.2535519389919262+9.136282514626819j),(-0.25956045377735737-8.541073442415373j)
(1.0462743349002563e-13-1.9869848922136103e-14j),(-0.08897978775243227-1.6726991032536307e-13j),(-0.09665658426830562-1.686750650539472j),(-0.09665658426832112+1.6867506505391283j),(-0.10304321995336604+1.1394795904940422j),(-0.10304321995348076-1.1394795904949777j),(-0.1177280053455382-0.5421575784457868j),(-0.11772800534565303+0.5421575784458839j),(-0.18746259149749472+2.5232613103906676j),(-0.18746259149753375-2.5232613103905304j),(-0.20221157186326266-4.208486730122861j),(-0.2022115718634294+4.208486730123068j),(-0.20857339012916917+3.6585383226041266j),(-0.208573390129183-3.6585383226043295j),(-0.22823401088833478+9.18361245123533e-13j),(-0.23981419526313494+7.492281330258549j),(-0.23981419526329567-7.492281330257777j),(-0.25457404387783-9.177476038344668j),(-0.2545740438778342+9.177476038343748j),(-0.26094289209043414-8.627497833337367j)
(7.251837070600739e-16-5.017079760729208e-14j),(-0.08692020736939599-6.672786701533406e-13j),(-0.0971920357479567-1.7899805252670138j),(-0.09719203574809056+1.7899805252676508j),(-0.10383265625912778+1.2844254522299299j),(-0.1038326562595231-1.2844254522299126j),(-0.12082934043894875-0.4980900730665393j),(-0.12082934043909078+0.4980900730665229j),(-0.18573273824853975+2.473998792771202j),(-0.18573273824861372-2.4739987927708307j),(-0.2027994429672844-4.2624027944539975j),(-0.2027994429673433+4.262402794453454j),(-0.2094267189011919+3.754635810703576j),(-0.20942671890137549-3.754635810702518j),(-0.23467740204063056+1.2062104369034663e-12j),(-0.2386291711248805-7.435456491389714j),(-0.23862917112491974+7.435456491390431j),(-0.25569886887261933-9.22388233188418j),(-0.2556988688728381+9.223882331884266j),(-0.2623316593307497-8.716097573224845j)
(3.3127067407136415e-13+3.120019634948871e-13j),(-0.08488611703734099+5.352032632451819e-13j),(-0.09791604951242001-1.8968031134778034j),(-0.09791604951247455+1.896803113478073j),(-0.1047132414935151+1.4302387664980574j),(-0.10471324149364583-1.430238766497731j),(-0.1240953162570731+0.4565938251810339j),(-0.1240953162571071-0.4565938251806738j),(-0.18398834338378844+2.426809693519412j),(-0.18398834338381467-2.4268096935194814j),(-0.203456607712658-4.321987501975237j),(-0.20345660771274665+4.321987501974597j),(-0.21026251367366208-3.8535162942233585j),(-0.2102625136737114+3.8535162942230654j),(-0.2374642027587459+7.380113577938897j),(-0.23746420275899682-7.3801135779390465j),(-0.24150880555642681-2.789735694400699e-12j),(-0.2569161969117644+9.275409647228484j),(-0.2569161969119177-9.275409647228349j),(-0.263725566733707+8.806936022327374j)
(8.298990930331657e-14+7.671304236244495e-13j),(-0.08290573790094594-4.355910189004517e-13j),(-0.09884101960823446+2.007143007509809j),(-0.09884101960829038-2.0071430075096894j),(-0.10568448932124934+1.577006055840366j),(-0.1056844893213735-1.5770060558402117j),(-0.12751375562355208+0.4174662488069895j),(-0.12751375562359535-0.41746624880693767j),(-0.18221886311303728-2.3815837058792657j),(-0.18221886311309007+2.3815837058788536j),(-0.20418306698070943+4.387048884099403j),(-0.20418306698076608-4.387048884099512j),(-0.21109006441779302-3.9551380915088212j),(-0.21109006441779554+3.955138091508825j),(-0.2363206708014887+7.326194426985959j),(-0.23632067080158306-7.326194426986824j),(-0.24866625547686125+2.8801067845571195e-11j),(-0.25821572900625817+9.331962096839355j),(-0.25821572900638734-9.331962096839138j),(-0.2651235841656788-8.900067539955192j)
(-3.427587282096211e-14+8.817737008864086e-14j),(-0.08099979811929184+8.030315997122497e-14j),(-0.10007540514455829+2.120823628279843j),(-0.1000754051445925-2.1208236282796387j),(-0.10674589045517763-1.724810860196217j),(-0.10674589045554266+1.7248108601955379j),(-0.13107266381177937-0.38049586593037776j),(-0.13107266381197552+0.38049586593027473j),(-0.18031750681075934-2.3383052179710466j),(-0.1803175068108754+2.3383052179713593j),(-0.2049788065602464+4.457389115221906j),(-0.20497880656028455-4.4573891152228935j),(-0.21191866673001844-4.05945041009255j),(-0.21191866673007842+4.05945041009254j),(-0.23519987502685855+7.2736472271162125j),(-0.23519987502691808-7.273647227115821j),(-0.25608319528700424+2.4498381736035318e-11j),(-0.2595872899156934+9.393441173823918j),(-0.259587289915723-9.393441173824149j),(-0.26652477037581956-8.99554078572526j)
