0j,(-0.05+1j),(-0.05-1j),(-0.1+0j),(-0.10000000000000003-4j),(-0.10000000000000003+4j),(-0.15-9j),(-0.15+9j),(-0.15000000000000002-3j),(-0.15000000000000002+3j),(-0.19999999999999998-8j),(-0.19999999999999998+8j),(-0.2+16j),(-0.2-16j),(-0.20000000000000007+0j),(-0.25+15j),(-0.25-5j),(-0.25-15j),(-0.25+5j),(-0.25000000000000006+25j)
(2.643290665329742e-13+2.390142531431867e-13j),(-0.07528589412365795-0.7507776425389532j),(-0.0752858941237839+0.7507776425387757j),(-0.10918754145532712+4.068455302029471j),(-0.10918754145554355-4.068455302028627j),(-0.1418970387981357+7.160254470168074e-12j),(-0.15445772170331945-3.3157867472158062j),(-0.15445772170334804+3.3157867472164284j),(-0.16333999937131655+9.041666476198833j),(-0.1633399993715745-9.041666476198804j),(-0.19101389870127883-1.266810894818646e-11j),(-0.20862511861172914-8.288955536038733j),(-0.2086251186118111+8.288955536039285j),(-0.21406344867428584-16.039817662627595j),(-0.21406344867428584+16.03981766262694j),(-0.24255900306215503+4.973279196933364j),(-0.24255900306221043-4.973279196933484j),(-0.259355474620946+15.287134467894276j),(-0.2593554746210689-15.287134467893862j),(-0.26441547423234985+25.038885154916116j)
(-2.7101079634168662e-14-3.856040868295469e-13j),(-0.07784943169460952+0.7293374243983908j),(-0.07784943169468914-0.7293374243983024j),(-0.110085074009134-4.082376130429245j),(-0.11008507400947899+4.082376130429055j),(-0.14550650004475835+8.717989711699426e-12j),(-0.15478038770331784-3.350828830801734j),(-0.15478038770333163+3.350828830802209j),(-0.16475446095948992+9.050122351573448j),(-0.1647544609595263-9.050122351573215j),(-0.19069277124061754-1.3773610248470832e-11j),(-0.20946771477855983+8.318512861731353j),(-0.20946771477860424-8.318512861731522j),(-0.21553695887541605+16.047928820407037j),(-0.21553695887547553-16.04792882040567j),(-0.2417406609366904+4.967827996380925j),(-0.2417406609368605-4.967827996380894j),(-0.2602593818263932-15.316349232922285j),(-0.260259381826415+15.316349232922112j),(-0.2659250019772551+25.04680405074039j)
(1.8926541560361922e-14+7.244796722623043e-13j),(-0.0805444926152891-0.7074221224745308j),(-0.08054449261529963+0.7074221224738838j),(-0.1110247637252131+4.098276453506988j),(-0.11102476372525619-4.098276453506875j),(-0.14896362970892071+1.1547914276082268e-11j),(-0.15510245224374758+3.388278038427264j),(-0.15510245224379374-3.3882780384281754j),(-0.16625079587164346-9.059776388782018j),(-0.16625079587176295+9.059776388782037j),(-0.19069057283170235-2.0328503798320967e-11j),(-0.21034981807297173-8.349692679293721j),(-0.2103498180730116+8.349692679293073j),(-0.21709250713105088+16.05719847176394j),(-0.21709250713115005-16.05719847176528j),(-0.24087295792593036+4.961597227675437j),(-0.2408729579259738-4.961597227675597j),(-0.2612033724354019-15.347147101025024j),(-0.2612033724355505+15.347147101025032j),(-0.2675186182687243+25.05585326334613j)
(-3.148742352096487e-13+4.663394387879344e-13j),(-0.08337095637641286-0.6850941895067035j),(-0.083370956376469+0.6850941895067479j),(-0.11200669247210246-4.116320363096658j),(-0.11200669247241249+4.11632036309643j),(-0.15210778324981+1.502058650214504e-11j),(-0.15542340869349167-3.42822940906028j),(-0.1554234086935268+3.428229409059832j),(-0.16782959357384428+9.070727506145522j),(-0.1678295935739338-9.070727506145202j),(-0.19116903504466554-2.710907663173424e-11j),(-0.21127147486209985+8.382524597122629j),(-0.21127147486212422-8.382524597122824j),(-0.21873031395993028+16.067724415729245j),(-0.21873031395995912-16.067724415729412j),(-0.23995617350771536+4.954521731421522j),(-0.23995617350773027-4.954521731421384j),(-0.2621870824767419-15.37955667111256j),(-0.26218708247686173+15.379556671112178j),(-0.26919652589265447-25.066127963177998j)
(2.0592533954789366e-13-5.174574409292987e-13j),(-0.08632831739366467+0.6624160808818995j),(-0.08632831739377174-0.6624160808821481j),(-0.11303095144662795+4.13667394271745j),(-0.1130309514468755-4.136673942717777j),(-0.15474606347448325-3.9343187353661104e-11j),(-0.15574306961435883+3.4707791264211445j),(-0.1557430696144167-3.470779126420658j),(-0.1694911222265991+9.083075938391763j),(-0.1694911222266116-9.083075938391843j),(-0.19232191763561166+7.116783553071608e-11j),(-0.21223273418776417-8.417038650115627j),(-0.21223273418793845+8.417038650116238j),(-0.22045029581198214-16.079606203372972j),(-0.22045029581202974+16.07960620337296j),(-0.23899099529235018-4.946535605611823j),(-0.23899099529241638+4.946535605611431j),(-0.2632101132838799+15.41360740045321j),(-0.2632101132839436-15.413607400452841j),(-0.2709585734284443-25.077724917668714j)
(-8.923236425374604e-14-7.532587756116192e-14j),(-0.08941565266309316-0.6394496937289595j),(-0.08941565266322127+0.6394496937291799j),(-0.11409764176751445+4.15950427152829j),(-0.1140976417675765-4.159504271528829j),(-0.15606159220508348+3.5160239897427776j),(-0.15606159220512938-3.5160239897425116j),(-0.15669507225898457-4.5169427953526185e-11j),(-0.17123529773313162-9.09692269168511j),(-0.17123529773323476+9.0969226916857j),(-0.19433320148733768+9.156176198793635e-11j),(-0.21323364781795998-8.453265196186964j),(-0.2132336478182162+8.453265196187921j),(-0.22225203634781768+16.092944676355113j),(-0.22225203634794716-16.092944676356133j),(-0.2379785584116926+4.937572629727909j),(-0.23797855841184085-4.93757262972806j),(-0.26427202993159643+15.44932955990499j),(-0.26427202993189114-15.449329559904667j),(-0.2728042232256317-25.09074199828268j)
(-2.90617185753881e-14-1.0322403210309102e-12j),(-0.09263159502636291-0.6162557605625587j),(-0.09263159502644276+0.6162557605625902j),(-0.1152068750389103+4.18497837230142j),(-0.11520687503894673-4.184978372301554j),(-0.15637949578411858-3.5640608659799473j),(-0.1563794957842401+3.5640608659794917j),(-0.15784665915647444-5.4521827606497443e-11j),(-0.1730616580005252-9.11236897052554j),(-0.1730616580006012+9.112368970525281j),(-0.19731127807909102+1.0652692420523251e-10j),(-0.21427427029485266-8.491234811312733j),(-0.21427427029489496+8.491234811313236j),(-0.22413474936199757-16.107841482303396j),(-0.2241347493621198+16.10784148230359j),(-0.2369204821253852-4.927566706602902j),(-0.2369204821254173+4.927566706602324j),(-0.26537235976076445-15.48675418929173j),(-0.26537235976089973+15.48675418929173j),(-0.27473252473666954+25.105277660179894j)
(1.7024017800037082e-13-8.558470698463446e-14j),(-0.09597431328903153-0.5928931997116005j),(-0.09597431328904782+0.5928931997115205j),(-0.11635877387518091+4.2132621165693696j),(-0.11635877387544515-4.21326211656935j),(-0.15669766855363906+3.614986135308505j),(-0.15669766855377687-3.6149861353085124j),(-0.15820821124068565-8.428825716315064e-12j),(-0.17496934364405106+9.129515583276497j),(-0.17496934364412145-9.12951558327669j),(-0.20124858586127814+1.8707975759904698e-11j),(-0.2153546589846249-8.53097818355175j),(-0.2153546589848268+8.530978183552751j),(-0.22609723244534458+16.12439856471649j),(-0.22609723244550733-16.12439856471679j),(-0.23581890393394642+4.916452310695656j),(-0.2358189039340246-4.916452310695839j),(-0.2665105910000038-15.525913053210905j),(-0.2665105910000659+15.525913053210335j),(-0.27674209445630693-25.121430401055576j)
(-1.8439348070383903e-13-3.8072332513635027e-13j),(-0.09944150030900857+0.5694184246806285j),(-0.09944150030923825-0.5694184246805865j),(-0.11755347239553786+4.244519102642366j),(-0.11755347239556524-4.244519102641326j),(-0.15701735989677298-3.6688951462423103j),(-0.15701735989679524+3.6688951462421024j),(-0.15787930949897036-1.8461417022121182e-11j),(-0.17695708624883488+9.14846233432968j),(-0.1769570862488843-9.148462334329654j),(-0.2060448596111631+4.9046486701152876e-11j),(-0.21647487411642655+8.572526006443336j),(-0.21647487411649644-8.572526006442605j),(-0.22813781708954323+16.14271762545201j),(-0.2281378170895652-16.14271762545309j),(-0.23467651270792836-4.904164926963491j),(-0.2346765127080381+4.904164926963659j),(-0.2676861714978619-15.566838597551149j),(-0.2676861714979495+15.56683859755175j),(-0.27883110359257113-25.139298206966778j)
(2.60552094891936e-13+2.743596985127518e-13j),(-0.103030369980076+0.545884613864893j),(-0.10303036998013454-0.5458846138648107j),(-0.11879111669152374-4.278909524347806j),(-0.11879111669155674+4.2789095243482285j),(-0.15699403399406878-5.3913854649729045e-11j),(-0.15734015261268713+3.725881703396577j),(-0.15734015261276665-3.7258817033967255j),(-0.17902320511311084-9.169307411989347j),(-0.1790232051131309+9.16930741198903j),(-0.21156469192697805+1.6721511924673826e-10j),(-0.2176349788188607+8.615908872260231j),(-0.21763497881896499-8.615908872259883j),(-0.23025432719900155-16.162899563524658j),(-0.2302543271990649+16.162899563524324j),(-0.23349658457851877-4.890641457769313j),(-0.2334965845785231+4.890641457769074j),(-0.26889850756998523-15.609563907022215j),(-0.26889850756999284+15.609563907021979j),(-0.28099727440867206-25.15897799402675j)
(-1.2894992384276418e-13-1.3732504614725166e-13j),(-0.10673766376143644-0.5223409403062158j),(-0.10673766376159184+0.5223409403059586j),(-0.12007186528587344+4.316589050004023j),(-0.120071865285917-4.316589050003981j),(-0.15567769723183433+5.8171955689533135e-12j),(-0.15766790575121992-3.786037622207347j),(-0.1576679057513902+3.7860376222071905j),(-0.18116561313839719-9.19214678198049j),(-0.18116561313845442+9.192146781980387j),(-0.21768059142726087-2.4752738782222357e-12j),(-0.2188350391504342+8.66115716554944j),(-0.21883503915066493-8.66115716554963j),(-0.2322830296122573-4.875820563986756j),(-0.23228302961226857+4.87582056398678j),(-0.23244405915521607-16.185043903417846j),(-0.2324440591553109+16.185043903417416j),(-0.27014696296999896+15.654122663971716j),(-0.27014696297001034-15.654122663972096j),(-0.283237885909666+25.180565055665184j)
(-7.234182267462987e-14-3.7208435251903e-13j),(-0.11055966708037919-0.4988317580880624j),(-0.11055966708058243+0.49883175808812863j),(-0.12139588959698994+4.357707732090571j),(-0.12139588959700197-4.357707732091061j),(-0.15403085837263025+1.3139997736958063e-11j),(-0.15800265081096818-3.8494524055414487j),(-0.15800265081105602+3.849452405541338j),(-0.1833818322092725+9.217073596979509j),(-0.1833818322093709-9.217073596979708j),(-0.22007512412077196-8.708300957439354j),(-0.220075124120935+8.708300957439363j),(-0.2242886108600645-6.335400231743253e-11j),(-0.23104046583265767+4.859642885810978j),(-0.23104046583266258-4.859642885811191j),(-0.23470379096628521-16.20924823387618j),(-0.2347037909664215+16.209248233874384j),(-0.2714308579872282-15.700549108825077j),(-0.2714308579872611+15.700549108824687j),(-0.28234549003103687-11.852044348004442j)
