2.0,12.0,30.0,56.0
1.98,11.94,29.9,55.86
1.96,11.879999999999999,29.8,55.72
1.94,11.82,29.7,55.58
1.92,11.76,29.6,55.44
1.9,11.7,29.5,55.3
1.88,11.64,29.4,55.16
1.8599999999999999,11.58,29.299999999999997,55.019999999999996
1.84,11.52,29.200000000000003,54.88
1.82,11.46,29.1,54.74
1.8,11.4,29.0,54.6
1.78,11.34,28.9,54.46
1.76,11.280000000000001,28.8,54.32
1.74,11.219999999999999,28.7,54.18
1.72,11.16,28.6,54.04
1.7,11.1,28.5,53.9
1.68,11.04,28.4,53.76
1.66,10.98,28.299999999999997,53.62
1.6400000000000001,10.92,28.200000000000003,53.480000000000004
1.62,10.86,28.1,53.34
1.6,10.8,28.0,53.2
1.58,10.74,27.9,53.06
1.56,10.68,27.8,52.92
1.54,10.620000000000001,27.7,52.78
1.52,10.56,27.6,52.64
1.5,10.5,27.5,52.5
1.48,10.44,27.4,52.36
1.46,10.379999999999999,27.3,52.22
1.44,10.32,27.2,52.08
1.42,10.26,27.1,51.94
1.4,10.2,27.0,51.8
1.38,10.14,26.9,51.66
1.3599999999999999,10.08,26.799999999999997,51.519999999999996
1.3399999999999999,10.02,26.7,51.379999999999995
1.3199999999999998,9.959999999999999,26.6,51.239999999999995
1.2999999999999998,9.899999999999999,26.5,51.099999999999994
1.28,9.84,26.4,50.96
1.26,9.780000000000001,26.3,50.82
1.24,9.719999999999999,26.2,50.68
1.22,9.66,26.1,50.54
1.2,9.6,26.0,50.4
1.18,9.54,25.9,50.26
1.1600000000000001,9.48,25.8,50.120000000000005
1.1400000000000001,9.42,25.700000000000003,49.980000000000004
1.12,9.36,25.6,49.84
1.1,9.3,25.5,49.7
1.08,9.24,25.4,49.56
1.06,9.18,25.3,49.42
1.04,9.120000000000001,25.2,49.28
1.02,9.06,25.1,49.14
1.0,9.0,25.0,49.0
0.98,8.94,24.9,48.86
0.96,8.879999999999999,24.8,48.72
0.94,8.82,24.7,48.58
0.9199999999999999,8.76,24.6,48.44
0.8999999999999999,8.7,24.5,48.3
0.8799999999999999,8.64,24.4,48.16
0.8599999999999999,8.58,24.299999999999997,48.019999999999996
0.8400000000000001,8.52,24.2,47.88
0.8200000000000001,8.46,24.1,47.74
0.8,8.4,24.0,47.6
0.78,8.34,23.9,47.46
0.76,8.280000000000001,23.8,47.32
0.74,8.219999999999999,23.7,47.18
0.72,8.16,23.6,47.04
0.7,8.1,23.5,46.9
0.6799999999999999,8.04,23.4,46.76
0.6599999999999999,7.9799999999999995,23.3,46.62
0.6399999999999999,7.92,23.2,46.48
0.6199999999999999,7.859999999999999,23.1,46.339999999999996
0.5999999999999999,7.8,23.0,46.2
0.5800000000000001,7.74,22.9,46.06
0.56,7.68,22.8,45.92
0.54,7.62,22.7,45.78
0.52,7.5600000000000005,22.6,45.64
0.5,7.5,22.5,45.5
0.48,7.4399999999999995,22.4,45.36
0.45999999999999996,7.38,22.3,45.22
0.43999999999999995,7.32,22.2,45.08
0.41999999999999993,7.26,22.1,44.94
0.3999999999999999,7.199999999999999,22.0,44.8
0.3799999999999999,7.14,21.9,44.66
0.3599999999999999,7.08,21.8,44.519999999999996
0.33999999999999986,7.02,21.7,44.379999999999995
0.32000000000000006,6.96,21.6,44.24
0.30000000000000004,6.9,21.5,44.1
0.28,6.84,21.4,43.96
0.26,6.78,21.3,43.82
0.24,6.72,21.2,43.68
0.21999999999999997,6.66,21.1,43.54
0.19999999999999996,6.6,21.0,43.4
0.17999999999999994,6.54,20.9,43.26
0.15999999999999992,6.4799999999999995,20.8,43.12
0.1399999999999999,6.42,20.7,42.98
0.11999999999999988,6.359999999999999,20.599999999999998,42.839999999999996
0.09999999999999987,6.3,20.5,42.699999999999996
0.08000000000000007,6.24,20.4,42.56
0.06000000000000005,6.18,20.3,42.42
0.040000000000000036,6.12,20.2,42.28
0.020000000000000018,6.0600000000000005,20.1,42.14
0.0,6.0,20.0,42.0
0.0,5.959999999999999,19.919999999999998,41.88
0.0,5.92,19.84,41.76
0.0,5.880000000000001,19.759999999999998,41.64
0.0,5.84,19.68,41.519999999999996
0.0,5.799999999999999,19.6,41.4
0.0,5.76,19.52,41.279999999999994
0.0,5.720000000000001,19.44,41.16
0.0,5.68,19.36,41.03999999999999
0.0,5.639999999999999,19.279999999999998,40.92
0.0,5.6,19.2,40.800000000000004
0.0,5.5600000000000005,19.119999999999997,40.68
0.0,5.52,19.04,40.56
0.0,5.479999999999999,18.96,40.44
0.0,5.4399999999999995,18.88,40.32
0.0,5.4,18.8,40.199999999999996
0.0,5.360000000000001,18.720000000000002,40.08
0.0,5.32,18.64,39.96000000000001
0.0,5.279999999999999,18.56,39.84
0.0,5.24,18.48,39.720000000000006
0.0,5.200000000000001,18.4,39.6
0.0,5.16,18.32,39.480000000000004
0.0,5.119999999999999,18.240000000000002,39.36
0.0,5.08,18.16,39.24
0.0,5.040000000000001,18.080000000000002,39.12
0.0,5.0,18.0,39.0
0.0,4.959999999999999,17.919999999999998,38.88
0.0,4.92,17.84,38.76
0.0,4.880000000000001,17.759999999999998,38.64
0.0,4.84,17.68,38.519999999999996
0.0,4.799999999999999,17.6,38.4
0.0,4.76,17.52,38.279999999999994
0.0,4.720000000000001,17.44,38.16
0.0,4.68,17.36,38.03999999999999
0.0,4.64,17.279999999999998,37.919999999999995
0.0,4.6,17.2,37.800000000000004
0.0,4.56,17.119999999999997,37.68
0.0,4.52,17.04,37.56
0.0,4.4799999999999995,16.96,37.44
0.0,4.4399999999999995,16.88,37.32
