0j
(-0.05-10j)
(-0.05+10j)
(-0.1+0j)
(-0.10000000000000003-18j)
(-0.10000000000000003+18j)
(-0.15-24j)
(-0.15+24j)
(-0.15000000000000002-8j)
(-0.15000000000000002+8j)
(-0.19999999999999998-14j)
(-0.19999999999999998+14j)
(-0.2+28j)
(-0.2-28j)
(-0.20000000000000007+0j)
(-0.25-6j)
(-0.25-18j)
(-0.25+6j)
(-0.25+18j)
(-0.25000000000000006-30j)
(-0.25000000000000006+30j)
(-0.3+0j)
(-0.3-30j)
(-0.3+30j)
(-0.30000000000000004+10j)
(-0.30000000000000004-20j)
(-0.30000000000000004-10j)
(-0.30000000000000004+20j)
(-0.35+20j)
(-0.35-20j)
(-0.35000000000000003+4j)
(-0.35000000000000003-4j)
(-0.3500000000000001-12j)
(-0.3500000000000001+28j)
(-0.3500000000000001+12j)
(-0.3500000000000001-28j)
(-0.4+0j)
(-0.4+18j)
(-0.4+6j)
(-0.4+12j)
(-0.4-18j)
(-0.4-6j)
(-0.4-12j)
(-0.40000000000000013+24j)
(-0.40000000000000013-24j)
(-0.44999999999999996+6j)
(-0.44999999999999996-6j)
(-0.45-18j)
(-0.45-2j)
(-0.45+18j)
(-0.45+2j)
(-0.4500000000000001+10j)
(-0.4500000000000001-14j)
(-0.4500000000000001+14j)
(-0.4500000000000001-10j)
(-0.5+8j)
(-0.5+2j)
(-0.5+4j)
(-0.5-8j)
(-0.5-4j)
(-0.5-2j)
(-0.5000000000000001+0j)
(-0.5000000000000001-6j)
(-0.5000000000000001+6j)
(-0.55+0j)
(-0.55+0j)
(-0.55+0j)
(-0.55+0j)
(-0.55+0j)
(-0.55+0j)
(-0.5500000000000002+0j)
(-0.5500000000000002+0j)
(-0.6+0j)
(-0.6000000000000001-6j)
(-0.6000000000000001+2j)
(-0.6000000000000001-2j)
(-0.6000000000000001+4j)
(-0.6000000000000001-4j)
(-0.6000000000000001+6j)
(-0.65-10j)
(-0.65+10j)
(-0.65-2j)
(-0.65+2j)
(-0.6500000000000002-6j)
(-0.6500000000000002+6j)
(-0.7000000000000001+6j)
(-0.7000000000000001-6j)
(-0.7000000000000001-12j)
(-0.7000000000000001+12j)
(-0.7000000000000002+0j)
(-0.75+12j)
(-0.75-12j)
(-0.7500000000000002+4j)
(-0.7500000000000002-4j)
(-0.8-10j)
(-0.8+10j)
(-0.8000000000000003+0j)
(-0.8500000000000001+6j)
(-0.8500000000000001-6j)
(-0.9+0j)
