xi,lambda_1,lambda_1_degen,T_X
0j,(-0.00013808157343641128-1.609309824401534e-13j),(-0.00013808157343641128-1.609309824401534e-13j),(7242.0959228170705+0j)
(0.1+0j),(-0.0005377779967288941+6.110081464610078e-14j),(-0.0005377779967288941+6.110081464610078e-14j),(1859.5033751522608+0j)
(0.2+0j),(-0.0014122055482797447-6.276473643680371e-14j),(-0.0014122055482797447-6.276473643680371e-14j),(708.1122158301487+0j)
(0.30000000000000004+0j),(-0.002351164444675565-2.828944686621211e-13j),(-0.002351164444675565-2.828944686621211e-13j),(425.32116469547464+0j)
(0.4+0j),(-0.003127454732128375-2.694508455492192e-13j),(-0.003127454732128375-2.694508455492192e-13j),(319.74883272553546+0j)
(0.5+0j),(-0.0036417033878214586+4.290620695139776e-13j),(-0.0036417033878214586+4.290620695139776e-13j),(274.5967734066943+0j)
(0.6000000000000001+0j),(-0.003878754925252908+3.623943719262726e-13j),(-0.003878754925252908+3.623943719262726e-13j),(257.8146903506147+0j)
(0.7000000000000001+0j),(-0.003873445347656883-1.2200397884903634e-13j),(-0.003873445347656883-1.2200397884903634e-13j),(258.1680933241818+0j)
(0.8+0j),(-0.00368499099970542+3.8324321683716146e-14j),(-0.00368499099970542+3.8324321683716146e-14j),(271.37108342461096+0j)
(0.9+0j),(-0.0033791547461591146-2.329210281461973e-13j),(-0.0033791547461591146-2.329210281461973e-13j),(295.931993388773+0j)
(1+0j),(-0.0030169666005506308+4.697773454627644e-14j),(-0.0030169666005506308+4.697773454627644e-14j),(331.4587572223997+0j)
(1.1+0j),(-0.0026485384104982003+1.0477723219519734e-13j),(-0.0026485384104982003+1.0477723219519734e-13j),(377.56673493434295+0j)
(1.2000000000000002+0j),(-0.0023105024527803643-8.309718001763007e-14j),(-0.0023105024527803643-8.309718001763007e-14j),(432.8062923268663+0j)
(1.3+0j),(-0.0020257308375214856-7.839333489334788e-14j),(-0.0020257308375214856-7.839333489334788e-14j),(493.6489989082242+0j)
(1.4000000000000001+0j),(-0.001804098561798771+8.087760142674881e-14j),(-0.001804098561798771+8.087760142674881e-14j),(554.2934411537655+0j)
(1.5+0j),(-0.001642875214268872-2.668919300112931e-13j),(-0.001642875214268872-2.668919300112931e-13j),(608.6889566016306+0j)
(1.6+0j),(-0.0015241862810528675+1.97785252705551e-13j),(-0.0015241862810528675+1.97785252705551e-13j),(656.0877843023403+0j)
(1.7000000000000002+0j),(-0.0014027706131259645+7.222675897935673e-14j),(-0.0014027706131259645+7.222675897935673e-14j),(712.8749281192727+0j)
(1.8+0j),(-0.001167688987812173-6.393738766039784e-15j),(-0.001167688987812173-6.393738766039784e-15j),(856.3924216444299+0j)
(1.9000000000000001+0j),(-0.0006277139224596171-7.8381572380437e-14j),(-0.0006277139224596171-7.8381572380437e-14j),(1593.0823966459552+0j)
(2+0j),(-0.00015667247137508727+6.003962167714491e-14j),(-0.00015667247137508727+6.003962167714491e-14j),(6382.742234313229+0j)
(2.1+0j),(-0.0005503758921573153+1.8380061997006302e-13j),(-0.0005503758921573153+1.8380061997006302e-13j),(1816.9400481556113+0j)
(2.2+0j),(-0.0011019499847479788+1.5170923141581463e-13j),(-0.0011019499847479788+1.5170923141581463e-13j),(907.4822032224129+0j)
(2.3000000000000003+0j),(-0.0014868449193533974-7.75876852017029e-14j),(-0.0014868449193533974-7.75876852017029e-14j),(672.5650987427003+0j)
(2.4000000000000004+0j),(-0.0017522950719091506+1.2173790821470217e-14j),(-0.0017522950719091506+1.2173790821470217e-14j),(570.6801417357669+0j)
(2.5+0j),(-0.0019467002488504535+9.939220995238803e-14j),(-0.0019467002488504535+9.939220995238803e-14j),(513.6897684122198+0j)
(2.6+0j),(-0.0020936351927263886-1.0463149784332022e-13j),(-0.0020936351927263886-1.0463149784332022e-13j),(477.6381307852266+0j)
(2.7+0j),(-0.0022033393418301552+1.5128398767093815e-13j),(-0.0022033393418301552+1.5128398767093815e-13j),(453.8565535571893+0j)
(2.8000000000000003+0j),(-0.0022792096118194553+2.8980353169169355e-13j),(-0.0022792096118194553+2.8980353169169355e-13j),(438.7485884642776+0j)
(2.9000000000000004+0j),(-0.0023204251441962115-1.1411686630098865e-13j),(-0.0023204251441962115-1.1411686630098865e-13j),(430.95550938205207+0j)
(3+0j),(-0.0023228686942200795-9.672883577197441e-14j),(-0.0023228686942200795-9.672883577197441e-14j),(430.5021641938988+0j)
(3.1+0j),(-0.002279505668212009+1.6578264690917132e-13j),(-0.002279505668212009+1.6578264690917132e-13j),(438.6916049146641+0j)
(3.2+0j),(-0.002181059902678217+1.6005136059898782e-15j),(-0.002181059902678217+1.6005136059898782e-15j),(458.49267999107093+0j)
(3.3000000000000003+0j),(-0.0020179781500347907-3.325531988456962e-14j),(-0.0020179781500347907-3.325531988456962e-14j),(495.5455042874273+0j)
(3.4000000000000004+0j),(-0.0017849003237689666-1.3784607159083308e-14j),(-0.0017849003237689666-1.3784607159083308e-14j),(560.255374870691+0j)
(3.5+0j),(-0.0014881890945695091+5.571638142018246e-14j),(-0.0014881890945695091+5.571638142018246e-14j),(671.957618590984+0j)
(3.6+0j),(-0.0011539039254452506+8.841640730124645e-14j),(-0.0011539039254452506+8.841640730124645e-14j),(866.6232759491961+0j)
(3.7+0j),(-0.0008280893011236175+8.645545451005976e-14j),(-0.0008280893011236175+8.645545451005976e-14j),(1207.5992270919578+0j)
(3.8000000000000003+0j),(-0.0005590982661289875+9.544105976554846e-14j),(-0.0005590982661289875+9.544105976554846e-14j),(1788.5943501911945+0j)
(3.9000000000000004+0j),(-0.0003508272844066156-1.5064120679608884e-13j),(-0.0003508272844066156-1.5064120679608884e-13j),(2850.4054400768346+0j)
(4+0j),(-0.00015872826022370794+2.694878820287447e-13j),(-0.00015872826022370794+2.694878820287447e-13j),(6300.075352622293+0j)
