xi,lambda_1,lambda_1_degen,T_X
(4.1000000000000005+0j),(-0.0003539805085454991+9.174964422345973e-14j),(-0.0003539805085454991+9.174964422345973e-14j),(2825.0143040615026+0j)
(4.2+0j),(-0.0005312054168535381+8.61868427944232e-14j),(-0.0005312054168535381+8.61868427944232e-14j),(1882.5109237839645+0j)
(4.3+0j),(-0.0006851778946529449-1.0485289954809069e-13j),(-0.0006851778946529449-1.0485289954809069e-13j),(1459.4749886181287+0j)
(4.4+0j),(-0.0008250068630721737-1.1524725110179134e-13j),(-0.0008250068630721737-1.1524725110179134e-13j),(1212.1111287198073+0j)
(4.5+0j),(-0.0009430136248550813+1.2953879987558526e-14j),(-0.0009430136248550813+1.2953879987558526e-14j),(1060.4300655291975+0j)
(4.6000000000000005+0j),(-0.0010333461025532858-1.854902190851154e-13j),(-0.0010333461025532858-1.854902190851154e-13j),(967.7299769449062+0j)
(4.7+0j),(-0.001093704773695045-8.884798531034647e-14j),(-0.001093704773695045-8.884798531034647e-14j),(914.3235213480266+0j)
(4.800000000000001+0j),(-0.0011246183135003075-8.583536831658592e-14j),(-0.0011246183135003075-8.583536831658592e-14j),(889.190570699102+0j)
(4.9+0j),(-0.0011286496966345292-1.753558805942449e-13j),(-0.0011286496966345292-1.753558805942449e-13j),(886.0145029780772+0j)
(5+0j),(-0.0011098083258346831-8.1751932346499e-14j),(-0.0011098083258346831-8.1751932346499e-14j),(901.0564948212146+0j)
(5.1000000000000005+0j),(-0.0010730581279940336-4.293416641017403e-14j),(-0.0010730581279940336-4.293416641017403e-14j),(931.9159642072626+0j)
(5.2+0j),(-0.001023765659327481+1.250689118642556e-13j),(-0.001023765659327481+1.250689118642556e-13j),(976.7860358364699+0j)
(5.300000000000001+0j),(-0.0009669528572220547-3.928910918437351e-14j),(-0.0009669528572220547-3.928910918437351e-14j),(1034.1765811343544+0j)
(5.4+0j),(-0.0009062184895448659+4.800375803606962e-14j),(-0.0009062184895448659+4.800375803606962e-14j),(1103.4866442663672+0j)
(5.5+0j),(-0.0008420952617398008+5.1923098596727273e-14j),(-0.0008420952617398008+5.1923098596727273e-14j),(1187.5141037297396+0j)
(5.6000000000000005+0j),(-0.0007693515478253836-1.1499585413547566e-13j),(-0.0007693515478253836-1.1499585413547566e-13j),(1299.7959162187396+0j)
(5.7+0j),(-0.0006727723429156621+2.0128839082215636e-13j),(-0.0006727723429156621+2.0128839082215636e-13j),(1486.3869041735545+0j)
(5.800000000000001+0j),(-0.0005258806351378239-5.937192151620945e-14j),(-0.0005258806351378239-5.937192151620945e-14j),(1901.5722070426075+0j)
(5.9+0j),(-0.0003243291453608707+6.290812531871892e-14j),(-0.0003243291453608707+6.290812531871892e-14j),(3083.2875006880186+0j)
(6+0j),(-0.00017747525267524015-6.785285993671308e-14j),(-0.00017747525267524015-6.785285993671308e-14j),(5634.5883999381485+0j)
(6.1000000000000005+0j),(-0.0003129964994662833-1.3689948825791467e-13j),(-0.0003129964994662833-1.3689948825791467e-13j),(3194.923910347829+0j)
(6.2+0j),(-0.0004983351926549659-3.6787674558894956e-13j),(-0.0004983351926549659-3.6787674558894956e-13j),(2006.6814761211808+0j)
(6.300000000000001+0j),(-0.0006523255361032274+4.9811467495078816e-14j),(-0.0006523255361032274+4.9811467495078816e-14j),(1532.97693353178+0j)
(6.4+0j),(-0.0007663925880512698+5.3658717849654066e-14j),(-0.0007663925880512698+5.3658717849654066e-14j),(1304.8142891657278+0j)
(6.5+0j),(-0.0008504026379412289+1.46553516078419e-13j),(-0.0008504026379412289+1.46553516078419e-13j),(1175.9135677435536+0j)
(6.6000000000000005+0j),(-0.0009126363555116431-2.1766037486149273e-13j),(-0.0009126363555116431-2.1766037486149273e-13j),(1095.726675757267+0j)
(6.7+0j),(-0.0009579425368981673+2.3901967145503104e-13j),(-0.0009579425368981673+2.3901967145503104e-13j),(1043.903951940599+0j)
(6.800000000000001+0j),(-0.0009888585877822105-9.534353075283727e-14j),(-0.0009888585877822105-9.534353075283727e-14j),(1011.2669418615023+0j)
(6.9+0j),(-0.0010064752263443685-1.6559833235971877e-13j),(-0.0010064752263443685-1.6559833235971877e-13j),(993.5664324616441+0j)
(7+0j),(-0.0010108343299476965+9.904534249605773e-14j),(-0.0010108343299476965+9.904534249605773e-14j),(989.281794625775+0j)
(7.1000000000000005+0j),(-0.0010010345952098604+1.3006285511950065e-14j),(-0.0010010345952098604+1.3006285511950065e-14j),(998.9664740711149+0j)
(7.2+0j),(-0.000975222593025589+6.718791574111286e-14j),(-0.000975222593025589+6.718791574111286e-14j),(1025.4069246873578+0j)
(7.300000000000001+0j),(-0.0009306744137811135+1.4352853174367075e-13j),(-0.0009306744137811135+1.4352853174367075e-13j),(1074.489623000629+0j)
(7.4+0j),(-0.0008642948177694269+2.079033644413762e-14j),(-0.0008642948177694269+2.079033644413762e-14j),(1157.0126066251344+0j)
(7.5+0j),(-0.0007740374373548816+7.118545060338559e-15j),(-0.0007740374373548816+7.118545060338559e-15j),(1291.9271752763025+0j)
(7.6000000000000005+0j),(-0.0006616512782804613+2.305491814258019e-14j),(-0.0006616512782804613+2.305491814258019e-14j),(1511.370162540696+0j)
(7.7+0j),(-0.000535779195522484-1.2509544117072394e-13j),(-0.000535779195522484-1.2509544117072394e-13j),(1866.4405194472226+0j)
(7.800000000000001+0j),(-0.0004102433127498832+2.632562269812442e-13j),(-0.0004102433127498832+2.632562269812442e-13j),(2437.5778200915593+0j)
(7.9+0j),(-0.00028622916949535193-1.8081682322395055e-13j),(-0.00028622916949535193-1.8081682322395055e-13j),(3493.704019625571+0j)
(8+0j),(-0.00018255751204639516+1.0276536760588745e-13j),(-0.00018255751204639516+1.0276536760588745e-13j),(5477.725834398203+0j)
(8.1+0j),(-0.0002851457425511347-1.9182038437422859e-13j),(-0.0002851457425511347-1.9182038437422859e-13j),(3506.9785403535234+0j)
(8.200000000000001+0j),(-0.0003989878777673029-8.736050147835855e-14j),(-0.0003989878777673029-8.736050147835855e-14j),(2506.341810673302+0j)
(8.3+0j),(-0.0004946443376599339+2.0734635526529516e-13j),(-0.0004946443376599339+2.0734635526529516e-13j),(2021.6545987988166+0j)
(8.4+0j),(-0.0005793512062429017+3.598926651066889e-14j),(-0.0005793512062429017+3.598926651066889e-14j),(1726.06872864736+0j)
(8.5+0j),(-0.0006511145744458931-8.606551897422772e-14j),(-0.0006511145744458931-8.606551897422772e-14j),(1535.8280082288327+0j)
(8.6+0j),(-0.0007077778481233625-3.526074950695937e-14j),(-0.0007077778481233625-3.526074950695937e-14j),(1412.8727010197479+0j)
(8.700000000000001+0j),(-0.0007484467337528142-7.135073546118158e-14j),(-0.0007484467337528142-7.135073546118158e-14j),(1336.1004262599467+0j)
(8.8+0j),(-0.0007731286050907786+3.9289041731930106e-14j),(-0.0007731286050907786+3.9289041731930106e-14j),(1293.4458684044976+0j)
(8.9+0j),(-0.0007823448807921759+1.6023126089994165e-13j),(-0.0007823448807921759+1.6023126089994165e-13j),(1278.208657782018+0j)
(9+0j),(-0.0007769689388212011-4.55353316567097e-15j),(-0.0007769689388212011-4.55353316567097e-15j),(1287.0527379346418+0j)
(9.1+0j),(-0.0007582380673053625-3.233427927383543e-14j),(-0.0007582380673053625-3.233427927383543e-14j),(1318.8469995364576+0j)
(9.200000000000001+0j),(-0.0007278400831216668+1.6787137876375583e-13j),(-0.0007278400831216668+1.6787137876375583e-13j),(1373.9281789909867+0j)
(9.3+0j),(-0.0006879550688348964+1.247981956015243e-13j),(-0.0006879550688348964+1.247981956015243e-13j),(1453.5833011501393+0j)
(9.4+0j),(-0.0006410930185045782+2.6744593983575747e-14j),(-0.0006410930185045782+2.6744593983575747e-14j),(1559.8360474001306+0j)
(9.5+0j),(-0.0005895013308500459+2.0717075741883965e-13j),(-0.0005895013308500459+2.0717075741883965e-13j),(1696.349011728312+0j)
(9.600000000000001+0j),(-0.0005338056604811995-2.7992590381603413e-13j),(-0.0005338056604811995-2.7992590381603413e-13j),(1873.3409441528763+0j)
(9.700000000000001+0j),(-0.0004704364517668153+8.169804588285248e-14j),(-0.0004704364517668153+8.169804588285248e-14j),(2125.6856186299046+0j)
(9.8+0j),(-0.0003885649818446722-1.2077037560220966e-13j),(-0.0003885649818446722-1.2077037560220966e-13j),(2573.5721094901633+0j)
(9.9+0j),(-0.0002784416587732237+1.361460155106736e-13j),(-0.0002784416587732237+1.361460155106736e-13j),(3591.416616342055+0j)
(10+0j),(-0.00019102495079719435+8.10214612478854e-14j),(-0.00019102495079719435+8.10214612478854e-14j),(5234.918244065777+0j)
