xi,lambda_1,lambda_1_degen,T_X
0j,(-1.6121651133162156e-07-7.58239080168492e-14j),(-1.6121651133162156e-07-7.58239080168492e-14j),(6202838.6034418335+0j)
(0.1+0j),(-7.175989669723231e-07-2.1681962839223042e-13j),(-7.175989669723231e-07-2.1681962839223042e-13j),(1393536.008307226+0j)
(0.2+0j),(-2.118764691067271e-06+3.081330176287918e-13j),(-2.118764691067271e-06+3.081330176287918e-13j),(471973.1285951706+0j)
(0.30000000000000004+0j),(-3.889340457334944e-06+1.6028166289945309e-13j),(-3.889340457334944e-06+1.6028166289945309e-13j),(257113.00179805307+0j)
(0.4+0j),(-5.57649531152494e-06+2.8456114270884465e-14j),(-5.57649531152494e-06+2.8456114270884465e-14j),(179324.09948113837+0j)
(0.5+0j),(-6.826610281613848e-06-2.9285598914504346e-13j),(-6.826610281613848e-06-2.9285598914504346e-13j),(146485.58490196904+0j)
(0.6000000000000001+0j),(-7.445514838320443e-06-1.4487815261646105e-14j),(-7.445514838320443e-06-1.4487815261646105e-14j),(134309.0466831411+0j)
(0.7000000000000001+0j),(-7.412457126976729e-06-1.3248294218279643e-13j),(-7.412457126976729e-06-1.3248294218279643e-13j),(134908.03155685347+0j)
(0.8+0j),(-6.842843785321355e-06+2.5065169845664483e-13j),(-6.842843785321355e-06+2.5065169845664483e-13j),(146138.07232383543+0j)
(0.9+0j),(-5.92210581313014e-06-1.5264046751732967e-13j),(-5.92210581313014e-06-1.5264046751732967e-13j),(168858.85385277306+0j)
(1+0j),(-4.841814283955924e-06+1.9286995252957681e-13j),(-4.841814283955924e-06+1.9286995252957681e-13j),(206534.15049677753+0j)
(1.1+0j),(-3.758050395630759e-06+1.4821692542369438e-13j),(-3.758050395630759e-06+1.4821692542369438e-13j),(266095.4204240143+0j)
(1.2000000000000002+0j),(-2.7753025903622347e-06-1.141004217906404e-13j),(-2.7753025903622347e-06-1.141004217906404e-13j),(360321.0703844294+0j)
(1.3+0j),(-1.9486952870211267e-06-3.3247948897122414e-13j),(-1.9486952870211267e-06-3.3247948897122414e-13j),(513163.8623340903+0j)
(1.4000000000000001+0j),(-1.2951753888920862e-06-6.73229613220606e-14j),(-1.2951753888920862e-06-6.73229613220606e-14j),(772096.2030134128+0j)
(1.5+0j),(-8.066840406442205e-07+3.404192063185424e-14j),(-8.066840406442205e-07+3.404192063185424e-14j),(1239642.7220766593+0j)
(1.6+0j),(-4.6161392097735754e-07+9.226279233238641e-14j),(-4.6161392097735754e-07+9.226279233238641e-14j),(2166312.484430145+0j)
(1.7000000000000002+0j),(-2.3327011135738814e-07-5.914678945974129e-14j),(-2.3327011135738814e-07-5.914678945974129e-14j),(4286875.820399988+0j)
(1.8+0j),(-9.5364323263847e-08+2.2641252430332155e-13j),(-9.5364323263847e-08+2.2641252430332155e-13j),(10486101.78078099+0j)
(1.9000000000000001+0j),(-2.5104301451087622e-08+4.590060977985722e-13j),(-2.5104301451087622e-08+4.590060977985722e-13j),(39833811.02829594+0j)
(2+0j),(-4.534788218406419e-09-2.449866388274631e-13j),(-4.534788218406419e-09-2.449866388274631e-13j),(220517464.50717658+0j)
(2.1+0j),(-2.071442642190392e-08-1.9277849807071745e-13j),(-2.071442642190392e-08-1.9277849807071745e-13j),(48275534.14380697+0j)
(2.2+0j),(-6.516904612146752e-08-1.69820844713015e-14j),(-6.516904612146752e-08-1.69820844713015e-14j),(15344708.25514488+0j)
(2.3000000000000003+0j),(-1.3292050364740454e-07-4.545310239098018e-13j),(-1.3292050364740454e-07-4.545310239098018e-13j),(7523293.792601624+0j)
(2.4000000000000004+0j),(-2.2127179112869613e-07-1.2483324658168078e-13j),(-2.2127179112869613e-07-1.2483324658168078e-13j),(4519328.898180157+0j)
(2.5+0j),(-3.284150334356262e-07-8.613770163184116e-14j),(-3.284150334356262e-07-8.613770163184116e-14j),(3044927.6013304475+0j)
(2.6+0j),(-4.51855520117919e-07-3.202979399275707e-14j),(-4.51855520117919e-07-3.202979399275707e-14j),(2213096.787528531+0j)
(2.7+0j),(-5.866278276106533e-07+9.892867254913809e-14j),(-5.866278276106533e-07+9.892867254913809e-14j),(1704658.307930975+0j)
(2.8000000000000003+0j),(-7.23385586103842e-07-6.751739280608904e-14j),(-7.23385586103842e-07-6.751739280608904e-14j),(1382388.617094245+0j)
(2.9000000000000004+0j),(-8.468547431451253e-07+3.334276624774542e-13j),(-8.468547431451253e-07+3.334276624774542e-13j),(1180840.0532612123+0j)
(3+0j),(-9.358973640630017e-07+1.9741350372338908e-13j),(-9.358973640630017e-07+1.9741350372338908e-13j),(1068493.2326967032+0j)
(3.1+0j),(-9.671917951457062e-07-3.5504939076140244e-13j),(-9.671917951457062e-07-3.5504939076140244e-13j),(1033921.0950909186+0j)
(3.2+0j),(-9.237753030590816e-07+2.911691406265534e-13j),(-9.237753030590816e-07+2.911691406265534e-13j),(1082514.3264693269+0j)
(3.3000000000000003+0j),(-8.056565890909545e-07+3.159933810123826e-16j),(-8.056565890909545e-07+3.159933810123826e-16j),(1241223.6349091723+0j)
(3.4000000000000004+0j),(-6.345289728699882e-07+1.355008819748908e-14j),(-6.345289728699882e-07+1.355008819748908e-14j),(1575972.1663724487+0j)
(3.5+0j),(-4.462946889758781e-07-4.431716860268444e-14j),(-4.462946889758781e-07-4.431716860268444e-14j),(2240671.97011625+0j)
(3.6+0j),(-2.7571425730396514e-07-1.8774436775976725e-13j),(-2.7571425730396514e-07-1.8774436775976725e-13j),(3626943.378911072+0j)
(3.7+0j),(-1.4454833359574958e-07-1.5454247000952551e-13j),(-1.4454833359574958e-07-1.5454247000952551e-13j),(6918101.199261455+0j)
(3.8000000000000003+0j),(-5.921030528549704e-08+3.483784617865133e-14j),(-5.921030528549704e-08+3.483784617865133e-14j),(16888951.93460419+0j)
(3.9000000000000004+0j),(-1.5139633751907168e-08-3.2362263937834223e-14j),(-1.5139633751907168e-08-3.2362263937834223e-14j),(66051795.99367971+0j)
(4+0j),(-2.581271225318406e-09-1.2912790683257045e-13j),(-2.581271225318406e-09-1.2912790683257045e-13j),(387406015.37393564+0j)
(4.1000000000000005+0j),(-1.0829431132225187e-08-8.81852992426939e-14j),(-1.0829431132225187e-08-8.81852992426939e-14j),(92340953.81282729+0j)
(4.2+0j),(-3.050382125574967e-08+3.9967995371731927e-13j),(-3.050382125574967e-08+3.9967995371731927e-13j),(32782777.98757786+0j)
(4.3+0j),(-5.4420933118267104e-08-6.689856264575312e-14j),(-5.4420933118267104e-08-6.689856264575312e-14j),(18375282.133196954+0j)
(4.4+0j),(-7.770312643581032e-08-4.574723976027e-13j),(-7.770312643581032e-08-4.574723976027e-13j),(12869495.03667769+0j)
(4.5+0j),(-9.752802704987422e-08+1.1883038371161597e-13j),(-9.752802704987422e-08+1.1883038371161597e-13j),(10253462.827548193+0j)
(4.6000000000000005+0j),(-1.1273695397052245e-07+2.1155204380258147e-14j),(-1.1273695397052245e-07+2.1155204380258147e-14j),(8870205.95093843+0j)
(4.7+0j),(-1.2340242394180308e-07+1.3921898208634105e-13j),(-1.2340242394180308e-07+1.3921898208634105e-13j),(8103568.536640761+0j)
(4.800000000000001+0j),(-1.304093094462954e-07+1.959711431818707e-14j),(-1.304093094462954e-07+1.959711431818707e-14j),(7668164.215008099+0j)
(4.9+0j),(-1.3506137794873157e-07-1.467914361709412e-13j),(-1.3506137794873157e-07-1.467914361709412e-13j),(7404041.149199541+0j)
(5+0j),(-1.3872345330319014e-07+6.386273652532559e-14j),(-1.3872345330319014e-07+6.386273652532559e-14j),(7208586.408344576+0j)
(5.1000000000000005+0j),(-1.424778644928348e-07-9.802198816431854e-14j),(-1.424778644928348e-07-9.802198816431854e-14j),(7018634.112460957+0j)
(5.2+0j),(-1.4675341476156498e-07+4.2568694719351553e-14j),(-1.4675341476156498e-07+4.2568694719351553e-14j),(6814151.490953259+0j)
(5.300000000000001+0j),(-1.5085886299093354e-07-1.1324810585555391e-13j),(-1.5085886299093354e-07-1.1324810585555391e-13j),(6628712.2955454+0j)
(5.4+0j),(-1.5236795963775074e-07+4.4757411372016714e-14j),(-1.5236795963775074e-07+4.4757411372016714e-14j),(6563059.598471119+0j)
(5.5+0j),(-1.4660232323989303e-07+6.55102494030911e-14j),(-1.4660232323989303e-07+6.55102494030911e-14j),(6821174.302699473+0j)
(5.6000000000000005+0j),(-1.274306464008952e-07-1.2736338161477563e-13j),(-1.274306464008952e-07-1.2736338161477563e-13j),(7847405.849720111+0j)
(5.7+0j),(-9.195814195592884e-08+1.2689949380562008e-13j),(-9.195814195592884e-08+1.2689949380562008e-13j),(10874512.889562866+0j)
(5.800000000000001+0j),(-4.8299071420642955e-08+7.087262545860447e-14j),(-4.8299071420642955e-08+7.087262545860447e-14j),(20704331.79327339+0j)
(5.9+0j),(-1.4413675316766211e-08+7.124463519349916e-14j),(-1.4413675316766211e-08+7.124463519349916e-14j),(69378557.37854622+0j)
(6+0j),(-2.644521351765859e-09+9.853371201776643e-14j),(-2.644521351765859e-09+9.853371201776643e-14j),(378140263.2019808+0j)
(6.1000000000000005+0j),(-1.135928537744736e-08+2.86145771631269e-13j),(-1.135928537744736e-08+2.86145771631269e-13j),(88033706.94299066+0j)
(6.2+0j),(-3.203421199345088e-08-6.257866084634484e-14j),(-3.203421199345088e-08-6.257866084634484e-14j),(31216625.531617302+0j)
(6.300000000000001+0j),(-5.6862775372804825e-08-2.9924334171133705e-13j),(-5.6862775372804825e-08-2.9924334171133705e-13j),(17586197.533338476+0j)
(6.4+0j),(-8.07806695122744e-08+1.3076736408092867e-13j),(-8.07806695122744e-08+1.3076736408092867e-13j),(12379199.207405092+0j)
(6.5+0j),(-1.008817733163788e-07+9.566471722177239e-14j),(-1.008817733163788e-07+9.566471722177239e-14j),(9912593.39646881+0j)
(6.6000000000000005+0j),(-1.1559849940266805e-07-9.749359459588411e-14j),(-1.1559849940266805e-07-9.749359459588411e-14j),(8650631.324518038+0j)
(6.7+0j),(-1.2421065133773028e-07-2.273648787243173e-13j),(-1.2421065133773028e-07-2.273648787243173e-13j),(8050839.354195058+0j)
