xi,lambda_1,lambda_1_degen,T_X
(6.800000000000001+0j),(-1.2662956648024288e-07+1.6100900797556148e-13j),(-1.2662956648024288e-07+1.6100900797556148e-13j),(7897049.858067886+0j)
(6.9+0j),(-1.2330731215428554e-07-1.4210101859944e-13j),(-1.2330731215428554e-07-1.4210101859944e-13j),(8109819.138290616+0j)
(7+0j),(-1.1517460261168524e-07+1.0572672575197201e-14j),(-1.1517460261168524e-07+1.0572672575197201e-14j),(8682469.722700335+0j)
(7.1000000000000005+0j),(-1.0353927839487791e-07+2.4815819485002054e-14j),(-1.0353927839487791e-07+2.4815819485002054e-14j),(9658170.459583482+0j)
(7.2+0j),(-8.993060638561935e-08-2.6198777300359354e-13j),(-8.993060638561935e-08-2.6198777300359354e-13j),(11119684.834682804+0j)
(7.300000000000001+0j),(-7.589843710741559e-08-1.9033989285127573e-13j),(-7.589843710741559e-08-1.9033989285127573e-13j),(13175501.869488375+0j)
(7.4+0j),(-6.279348465691004e-08+2.766764401992554e-14j),(-6.279348465691004e-08+2.766764401992554e-14j),(15925219.080670275+0j)
(7.5+0j),(-5.155145466419063e-08-1.437030818110365e-13j),(-5.155145466419063e-08-1.437030818110365e-13j),(19398094.70972375+0j)
(7.6000000000000005+0j),(-4.2439831812533425e-08+7.201462527444181e-14j),(-4.2439831812533425e-08+7.201462527444181e-14j),(23562770.098082192+0j)
(7.7+0j),(-3.4624207334551574e-08-2.1492930852812374e-13j),(-3.4624207334551574e-08-2.1492930852812374e-13j),(28881527.606903445+0j)
(7.800000000000001+0j),(-2.5410222847673915e-08-1.7037054401365756e-13j),(-2.5410222847673915e-08-1.7037054401365756e-13j),(39354239.66939122+0j)
(7.9+0j),(-1.1736907349632663e-08-4.96656423749938e-14j),(-1.1736907349632663e-08-4.96656423749938e-14j),(85201320.09317578+0j)
(8+0j),(-2.72619091166077e-09-2.0560650095863116e-13j),(-2.72619091166077e-09-2.0560650095863116e-13j),(366812168.48119026+0j)
(8.1+0j),(-1.0846116076004262e-08-3.014596295896276e-14j),(-1.0846116076004262e-08-3.014596295896276e-14j),(92198902.62952106+0j)
(8.200000000000001+0j),(-2.5645548562003378e-08-1.3641887630494855e-13j),(-2.5645548562003378e-08-1.3641887630494855e-13j),(38993121.85045661+0j)
(8.3+0j),(-3.945029929159312e-08-1.4531407046105078e-13j),(-3.945029929159312e-08-1.4531407046105078e-13j),(25348350.150872+0j)
(8.4+0j),(-5.129470293343929e-08+2.4167116158804643e-13j),(-5.129470293343929e-08+2.4167116158804643e-13j),(19495190.396123625+0j)
(8.5+0j),(-6.142485999664353e-08-5.792017315583868e-14j),(-6.142485999664353e-08-5.792017315583868e-14j),(16280053.38644066+0j)
(8.6+0j),(-7.000138895508412e-08+3.2368027496750514e-13j),(-7.000138895508412e-08+3.2368027496750514e-13j),(14285430.831117405+0j)
(8.700000000000001+0j),(-7.701701024966844e-08+7.268127601334222e-14j),(-7.701701024966844e-08+7.268127601334222e-14j),(12984144.629326286+0j)
(8.8+0j),(-8.233789264714335e-08+1.0497206741046669e-13j),(-8.233789264714335e-08+1.0497206741046669e-13j),(12145076.438687483+0j)
(8.9+0j),(-8.572470171399324e-08-1.0402825525772616e-13j),(-8.572470171399324e-08-1.0402825525772616e-13j),(11665249.105635155+0j)
(9+0j),(-8.684309322958276e-08-1.1055788814304377e-13j),(-8.684309322958276e-08-1.1055788814304377e-13j),(11515020.51356404+0j)
(9.1+0j),(-8.529675993386708e-08+1.3837920554923232e-13j),(-8.529675993386708e-08+1.3837920554923232e-13j),(11723774.74566827+0j)
(9.200000000000001+0j),(-8.071773642062341e-08+1.1147672886859694e-13j),(-8.071773642062341e-08+1.1147672886859694e-13j),(12388850.881409252+0j)
(9.3+0j),(-7.293705169975403e-08-9.485925068482268e-14j),(-7.293705169975403e-08-9.485925068482268e-14j),(13710452.735552132+0j)
(9.4+0j),(-6.222473471467651e-08-4.429189595682379e-14j),(-6.222473471467651e-08-4.429189595682379e-14j),(16070779.643904807+0j)
(9.5+0j),(-4.949313452986295e-08-1.4084033564815718e-13j),(-4.949313452986295e-08-1.4084033564815718e-13j),(20204822.53749001+0j)
(9.600000000000001+0j),(-3.6286183887121885e-08-8.183246865061163e-14j),(-3.6286183887121885e-08-8.183246865061163e-14j),(27558698.45974363+0j)
(9.700000000000001+0j),(-2.4393179387334253e-08+2.4618076370323674e-13j),(-2.4393179387334253e-08+2.4618076370323674e-13j),(40995066.04371684+0j)
(9.8+0j),(-1.5104409159426287e-08-1.6673412651733182e-13j),(-1.5104409159426287e-08-1.6673412651733182e-13j),(66205833.637386926+0j)
(9.9+0j),(-8.011462227460525e-09+3.467936517759658e-14j),(-8.011462227460525e-09+3.467936517759658e-14j),(124821158.9355493+0j)
(10+0j),(-2.733686196159782e-09-2.509126918133539e-13j),(-2.733686196159782e-09-2.509126918133539e-13j),(365806434.3320665+0j)
