xi,lambda_1,lambda_1_degen,T_X
(6.7+0j),(-0.004880613962396947-3.397106137514459e-14j),(-0.004880613962396947-3.397106137514459e-14j),(204.8922548893591+0j)
(6.800000000000001+0j),(-0.0053589789885219955+1.233606200255517e-14j),(-0.0053589789885219955+1.233606200255517e-14j),(186.60270960976462+0j)
(6.9+0j),(-0.00862145323598559-8.247679074669888e-14j),(-0.00862145323598559-8.247679074669888e-14j),(115.98972616658655+0j)
(7+0j),(-0.014312810086610858+1.7088619885830872e-13j),(-0.014312810086610858+1.7088619885830872e-13j),(69.86748192344602+0j)
(7.1000000000000005+0j),(-0.007406658979233371-7.59897459396269e-15j),(-0.007406658979233371-7.59897459396269e-15j),(135.01364148177717+0j)
(7.2+0j),(-0.004354468292243774-1.1110033336317904e-13j),(-0.004354468292243774-1.1110033336317904e-13j),(229.6491633160381+0j)
(7.300000000000001+0j),(-0.003968248815584243-1.6081839605462555e-13j),(-0.003968248815584243-1.6081839605462555e-13j),(252.00032721556312+0j)
(7.4+0j),(-0.004039216087551773+8.675039494037645e-15j),(-0.004039216087551773+8.675039494037645e-15j),(247.57279093877702+0j)
(7.5+0j),(-0.004202015956443087+1.0302650946954073e-16j),(-0.004202015956443087+1.0302650946954073e-16j),(237.9810096786205+0j)
(7.6000000000000005+0j),(-0.004364183610462659+8.542329359307223e-14j),(-0.004364183610462659+8.542329359307223e-14j),(229.1379303113205+0j)
(7.7+0j),(-0.004496645028231311+7.273226319659667e-14j),(-0.004496645028231311+7.273226319659667e-14j),(222.38802345341796+0j)
(7.800000000000001+0j),(-0.004588481952949627-1.0540975423829637e-13j),(-0.004588481952949627-1.0540975423829637e-13j),(217.93700187862066+0j)
(7.9+0j),(-0.00463477449114594-2.3880810507126494e-14j),(-0.00463477449114594-2.3880810507126494e-14j),(215.76022779756684+0j)
(8+0j),(-0.0046327577258943676+2.0491478966953836e-14j),(-0.0046327577258943676+2.0491478966953836e-14j),(215.8541540842063+0j)
(8.1+0j),(-0.004580230300945579+2.5326832058163147e-14j),(-0.004580230300945579+2.5326832058163147e-14j),(218.32963285569988+0j)
(8.200000000000001+0j),(-0.0044745607765292374-1.3787651087124358e-13j),(-0.0044745607765292374-1.3787651087124358e-13j),(223.48562237558107+0j)
(8.3+0j),(-0.004311925871674347+2.0099150035923392e-13j),(-0.004311925871674347+2.0099150035923392e-13j),(231.91493308573368+0j)
(8.4+0j),(-0.004087047749402024+9.991231568755124e-14j),(-0.004087047749402024+9.991231568755124e-14j),(244.67538950243733+0j)
