xi,lambda_1,lambda_1_degen,T_X
(6.5+0j),(-0.05-6.5j),(-0.05+6.5j),(20+0j)
(6.6000000000000005+0j),(-0.05-6.6000000000000005j),(-0.05+6.6000000000000005j),(20+0j)
(6.7+0j),(-0.05-6.7j),(-0.05+6.7j),(20+0j)
(6.800000000000001+0j),(-0.05-6.800000000000001j),(-0.05+6.800000000000001j),(20+0j)
(6.9+0j),(-0.05-6.9j),(-0.05+6.9j),(20+0j)
(7+0j),(-0.05-7j),(-0.05+7j),(20+0j)
(7.1000000000000005+0j),(-0.05-7.1000000000000005j),(-0.05+7.1000000000000005j),(20+0j)
(7.2+0j),(-0.05-7.2j),(-0.05+7.2j),(20+0j)
(7.300000000000001+0j),(-0.05-7.300000000000001j),(-0.05+7.300000000000001j),(20+0j)
(7.4+0j),(-0.05-7.4j),(-0.05+7.4j),(20+0j)
(7.5+0j),(-0.05-7.5j),(-0.05+7.5j),(20+0j)
(7.6000000000000005+0j),(-0.05-7.6000000000000005j),(-0.05+7.6000000000000005j),(20+0j)
(7.7+0j),(-0.05-7.7j),(-0.05+7.7j),(20+0j)
(7.800000000000001+0j),(-0.05-7.800000000000001j),(-0.05+7.800000000000001j),(20+0j)
(7.9+0j),(-0.05-7.9j),(-0.05+7.9j),(20+0j)
(8+0j),(-0.05-8j),(-0.05+8j),(20+0j)
(8.1+0j),(-0.05-8.1j),(-0.05+8.1j),(20+0j)
(8.200000000000001+0j),(-0.05-8.200000000000001j),(-0.05+8.200000000000001j),(20+0j)
(8.3+0j),(-0.05-8.3j),(-0.05+8.3j),(20+0j)
(8.4+0j),(-0.05-8.4j),(-0.05+8.4j),(20+0j)
(8.5+0j),(-0.05-8.5j),(-0.05+8.5j),(20+0j)
(8.6+0j),(-0.05-8.6j),(-0.05+8.6j),(20+0j)
(8.700000000000001+0j),(-0.05-8.700000000000001j),(-0.05+8.700000000000001j),(20+0j)
(8.8+0j),(-0.05-8.8j),(-0.05+8.8j),(20+0j)
(8.9+0j),(-0.05-8.9j),(-0.05+8.9j),(20+0j)
(9+0j),(-0.05-9j),(-0.05+9j),(20+0j)
(9.1+0j),(-0.05-9.1j),(-0.05+9.1j),(20+0j)
(9.200000000000001+0j),(-0.05-9.200000000000001j),(-0.05+9.200000000000001j),(20+0j)
(9.3+0j),(-0.05-9.3j),(-0.05+9.3j),(20+0j)
(9.4+0j),(-0.05-9.4j),(-0.05+9.4j),(20+0j)
(9.5+0j),(-0.05-9.5j),(-0.05+9.5j),(20+0j)
(9.600000000000001+0j),(-0.05-9.600000000000001j),(-0.05+9.600000000000001j),(20+0j)
(9.700000000000001+0j),(-0.05-9.700000000000001j),(-0.05+9.700000000000001j),(20+0j)
(9.8+0j),(-0.05-9.8j),(-0.05+9.8j),(20+0j)
(9.9+0j),(-0.05-9.9j),(-0.05+9.9j),(20+0j)
(10+0j),(-0.05-10j),(-0.05+10j),(20+0j)
