xi,lambda_1,lambda_1_degen,T_X
0j,(-4.5951753257856635e-06+2.7929172725009484e-13j),(-4.5951753257856635e-06+2.7929172725009484e-13j),(217619.55292293974+0j)
(0.1+0j),(-1.797240326793091e-05+2.3276540852700194e-13j),(-1.797240326793091e-05+2.3276540852700194e-13j),(55640.861441405104+0j)
(0.2+0j),(-4.8062814778884845e-05+4.8418697934470414e-14j),(-4.8062814778884845e-05+4.8418697934470414e-14j),(20806.105605769142+0j)
(0.30000000000000004+0j),(-8.298480673962206e-05-1.0143279337113613e-13j),(-8.298480673962206e-05-1.0143279337113613e-13j),(12050.398612575647+0j)
(0.4+0j),(-0.00011703336712885334+1.792816699528558e-13j),(-0.00011703336712885334+1.792816699528558e-13j),(8544.571727984237+0j)
(0.5+0j),(-0.0001482257580878853-1.2179596254116204e-13j),(-0.0001482257580878853-1.2179596254116204e-13j),(6746.465748598734+0j)
(0.6000000000000001+0j),(-0.00017661297988280975+2.5970916497906654e-13j),(-0.00017661297988280975+2.5970916497906654e-13j),(5662.097999045952+0j)
(0.7000000000000001+0j),(-0.0002031537450962842-1.0334695053038796e-13j),(-0.0002031537450962842-1.0334695053038796e-13j),(4922.380335770096+0j)
(0.8+0j),(-0.00022898364610431503-6.977382604641624e-14j),(-0.00022898364610431503-6.977382604641624e-14j),(4367.124102585227+0j)
(0.9+0j),(-0.0002549389279619975+1.031817079434269e-13j),(-0.0002549389279619975+1.031817079434269e-13j),(3922.5080610249724+0j)
(1+0j),(-0.0002812101561094483+7.02187740456513e-14j),(-0.0002812101561094483+7.02187740456513e-14j),(3556.0593324047495+0j)
(1.1+0j),(-0.00030700429548356035+1.609030132106813e-13j),(-0.00030700429548356035+1.609030132106813e-13j),(3257.2834149597384+0j)
(1.2000000000000002+0j),(-0.000330088828250796+2.020990283871842e-13j),(-0.000330088828250796+2.020990283871842e-13j),(3029.4875633907145+0j)
(1.3+0j),(-0.0003461162430119259-6.319563579330017e-14j),(-0.0003461162430119259-6.319563579330017e-14j),(2889.2027467359967+0j)
(1.4000000000000001+0j),(-0.0003478393731615163+1.9749988223107907e-13j),(-0.0003478393731615163+1.9749988223107907e-13j),(2874.890185406522+0j)
(1.5+0j),(-0.0003251740808065505+6.128492541777944e-14j),(-0.0003251740808065505+6.128492541777944e-14j),(3075.275856918346+0j)
(1.6+0j),(-0.0002690120570187937-1.1868084678410145e-13j),(-0.0002690120570187937-1.1868084678410145e-13j),(3717.3055032627703+0j)
(1.7000000000000002+0j),(-0.00018209199779447972-1.5559551564106368e-13j),(-0.00018209199779447972-1.5559551564106368e-13j),(5491.729521956598+0j)
(1.8+0j),(-8.92858677761512e-05+1.2061189157749278e-13j),(-8.92858677761512e-05+1.2061189157749278e-13j),(11199.980746192692+0j)
(1.9000000000000001+0j),(-2.5003793634895748e-05+2.539610953389812e-13j),(-2.5003793634895748e-05+2.539610953389812e-13j),(39993.93110509366+0j)
(2+0j),(-4.344042833483442e-06-8.171842933915506e-14j),(-4.344042833483442e-06-8.171842933915506e-14j),(230200.30840674532+0j)
(2.1+0j),(-1.7795527393983894e-05+1.9399083904843757e-13j),(-1.7795527393983894e-05+1.9399083904843757e-13j),(56193.89512097677+0j)
(2.2+0j),(-4.804491208223509e-05-1.9350046845856305e-13j),(-4.804491208223509e-05-1.9350046845856305e-13j),(20813.858464104804+0j)
(2.3000000000000003+0j),(-8.180154815922884e-05-2.6089829278347727e-13j),(-8.180154815922884e-05-2.6089829278347727e-13j),(12224.707508633872+0j)
(2.4000000000000004+0j),(-0.00011160210759674851-5.101993227168115e-13j),(-0.00011160210759674851-5.101993227168115e-13j),(8960.404256999307+0j)
(2.5+0j),(-0.00013401958034221082-1.466243635792421e-13j),(-0.00013401958034221082-1.466243635792421e-13j),(7461.596264117236+0j)
(2.6+0j),(-0.00014792476630483872+1.3349313162582872e-13j),(-0.00014792476630483872+1.3349313162582872e-13j),(6760.193204829754+0j)
(2.7+0j),(-0.00015346713635780985+2.238341162065975e-13j),(-0.00015346713635780985+2.238341162065975e-13j),(6516.053037364899+0j)
(2.8000000000000003+0j),(-0.0001515618520186112-6.991705477209535e-14j),(-0.0001515618520186112-6.991705477209535e-14j),(6597.966352886768+0j)
(2.9000000000000004+0j),(-0.00014362070125260954-7.823097602707613e-14j),(-0.00014362070125260954-7.823097602707613e-14j),(6962.784551797545+0j)
(3+0j),(-0.00013136518406909654+5.699297311535536e-14j),(-0.00013136518406909654+5.699297311535536e-14j),(7612.367059707478+0j)
(3.1+0j),(-0.00011664640007904165-1.1570901945838567e-13j),(-0.00011664640007904165-1.1570901945838567e-13j),(8572.917803913215+0j)
(3.2+0j),(-0.00010125324845594523-9.36233577688277e-14j),(-0.00010125324845594523-9.36233577688277e-14j),(9876.226345815412+0j)
(3.3000000000000003+0j),(-8.672190477986752e-05-1.4314230500396741e-15j),(-8.672190477986752e-05-1.4314230500396741e-15j),(11531.112036092522+0j)
(3.4000000000000004+0j),(-7.416566326188485e-05-5.163243170549424e-14j),(-7.416566326188485e-05-5.163243170549424e-14j),(13483.328484084617+0j)
(3.5+0j),(-6.412031874954937e-05-5.405522667528189e-14j),(-6.412031874954937e-05-5.405522667528189e-14j),(15595.680425512981+0j)
(3.6+0j),(-5.632952515758839e-05+3.045343746704574e-13j),(-5.632952515758839e-05+3.045343746704574e-13j),(17752.679384432653+0j)
(3.7+0j),(-4.922723768372344e-05+2.21020879634953e-13j),(-4.922723768372344e-05+2.21020879634953e-13j),(20313.957212566518+0j)
(3.8000000000000003+0j),(-3.872504895683125e-05+2.46115289196511e-13j),(-3.872504895683125e-05+2.46115289196511e-13j),(25823.079038963904+0j)
(3.9000000000000004+0j),(-1.9279465043333435e-05-2.1806370656074983e-13j),(-1.9279465043333435e-05-2.1806370656074983e-13j),(51868.659101917656+0j)
(4+0j),(-4.625618165436933e-06-1.3221168306217097e-14j),(-4.625618165436933e-06-1.3221168306217097e-14j),(216187.32118273337+0j)
(4.1000000000000005+0j),(-1.7326501905078682e-05-5.397804528786488e-14j),(-1.7326501905078682e-05-5.397804528786488e-14j),(57715.054399231245+0j)
(4.2+0j),(-3.771352631388663e-05-4.653558310358587e-15j),(-3.771352631388663e-05-4.653558310358587e-15j),(26515.68542482824+0j)
(4.3+0j),(-5.420517806907387e-05-2.8298634449621872e-14j),(-5.420517806907387e-05-2.8298634449621872e-14j),(18448.422007316276+0j)
(4.4+0j),(-6.688232536375883e-05-1.1533342719691944e-13j),(-6.688232536375883e-05-1.1533342719691944e-13j),(14951.633253796295+0j)
(4.5+0j),(-7.68977450758291e-05+6.010835555621543e-14j),(-7.68977450758291e-05+6.010835555621543e-14j),(13004.282492469669+0j)
(4.6000000000000005+0j),(-8.489626974467917e-05-1.3828833969226249e-14j),(-8.489626974467917e-05-1.3828833969226249e-14j),(11779.080553332256+0j)
(4.7+0j),(-9.114225549483211e-05-8.48968505470773e-15j),(-9.114225549483211e-05-8.48968505470773e-15j),(10971.859260787127+0j)
(4.800000000000001+0j),(-9.567272835662683e-05+8.065729408364021e-14j),(-9.567272835662683e-05+8.065729408364021e-14j),(10452.299387474659+0j)
(4.9+0j),(-9.836613908856862e-05+1.0007585140379428e-13j),(-9.836613908856862e-05+1.0007585140379428e-13j),(10166.09993302271+0j)
(5+0j),(-9.896874522999014e-05-9.29597877425084e-14j),(-9.896874522999014e-05-9.29597877425084e-14j),(10104.200044934729+0j)
(5.1000000000000005+0j),(-9.711855244820924e-05-8.481754634100396e-14j),(-9.711855244820924e-05-8.481754634100396e-14j),(10296.69383234757+0j)
(5.2+0j),(-9.240487592409166e-05-3.2342921546326985e-14j),(-9.240487592409166e-05-3.2342921546326985e-14j),(10821.939751550291+0j)
(5.300000000000001+0j),(-8.450454216223743e-05+2.6252954754541745e-13j),(-8.450454216223743e-05+2.6252954754541745e-13j),(11833.683425917316+0j)
(5.4+0j),(-7.342202331757692e-05-7.072134753794747e-17j),(-7.342202331757692e-05-7.072134753794747e-17j),(13619.89161854934+0j)
(5.5+0j),(-5.979262501659061e-05+5.658399917092272e-14j),(-5.979262501659061e-05+5.658399917092272e-14j),(16724.470613600435+0j)
(5.6000000000000005+0j),(-4.5068455928892347e-05-7.157463311750176e-14j),(-4.5068455928892347e-05-7.157463311750176e-14j),(22188.468173344343+0j)
(5.7+0j),(-3.129305513298045e-05-9.181954344203448e-14j),(-3.129305513298045e-05-9.181954344203448e-14j),(31955.97220375193+0j)
(5.800000000000001+0j),(-2.0255953742502395e-05+1.118334906954579e-13j),(-2.0255953742502395e-05+1.118334906954579e-13j),(49368.20120702257+0j)
(5.9+0j),(-1.1771049891450308e-05-1.0823784766105637e-13j),(-1.1771049891450308e-05-1.0823784766105637e-13j),(84954.18923730262+0j)
(6+0j),(-4.65170316813015e-06-9.00581151997609e-14j),(-4.65170316813015e-06-9.00581151997609e-14j),(214975.02395492938+0j)
(6.1000000000000005+0j),(-1.1955499866515918e-05-2.572865175398978e-13j),(-1.1955499866515918e-05-2.572865175398978e-13j),(83643.51228849294+0j)
(6.2+0j),(-1.9674795644016385e-05+1.2090359270544736e-13j),(-1.9674795644016385e-05+1.2090359270544736e-13j),(50826.44913285927+0j)
(6.300000000000001+0j),(-2.6582394713186978e-05-2.2399467871861502e-13j),(-2.6582394713186978e-05-2.2399467871861502e-13j),(37618.88312883717+0j)
(6.4+0j),(-3.298782793699617e-05+2.8732372554926904e-13j),(-3.298782793699617e-05+2.8732372554926904e-13j),(30314.21171196574+0j)
