xi,lambda_1,lambda_1_degen,T_X
(6.5+0j),(-3.8546362286093784e-05+2.1181014382779084e-13j),(-3.8546362286093784e-05+2.1181014382779084e-13j),(25942.785277062732+0j)
(6.6000000000000005+0j),(-4.295457847470181e-05-2.1760745447921716e-13j),(-4.295457847470181e-05-2.1760745447921716e-13j),(23280.405384235168+0j)
(6.7+0j),(-4.605784436353703e-05-2.713809321436552e-13j),(-4.605784436353703e-05-2.713809321436552e-13j),(21711.82811134074+0j)
(6.800000000000001+0j),(-4.783894342575528e-05+1.157532145080648e-13j),(-4.783894342575528e-05+1.157532145080648e-13j),(20903.47169878391+0j)
(6.9+0j),(-4.8389231857856536e-05-1.2868934302185786e-13j),(-4.8389231857856536e-05-1.2868934302185786e-13j),(20665.754788947714+0j)
(7+0j),(-4.7879406252304156e-05+8.639981944126832e-14j),(-4.7879406252304156e-05+8.639981944126832e-14j),(20885.806200904502+0j)
(7.1000000000000005+0j),(-4.652897062170814e-05+4.329375907578777e-14j),(-4.652897062170814e-05+4.329375907578777e-14j),(21491.98631816387+0j)
(7.2+0j),(-4.457001713982575e-05+3.532964408248305e-14j),(-4.457001713982575e-05+3.532964408248305e-14j),(22436.607930007845+0j)
(7.300000000000001+0j),(-4.220054080156316e-05+2.0160737196823234e-14j),(-4.220054080156316e-05+2.0160737196823234e-14j),(23696.378790552342+0j)
(7.4+0j),(-3.952124283190204e-05-1.3157874884310107e-13j),(-3.952124283190204e-05-1.3157874884310107e-13j),(25302.8479962879+0j)
(7.5+0j),(-3.6446566920954764e-05+9.178166556622645e-14j),(-3.6446566920954764e-05+9.178166556622645e-14j),(27437.42647061376+0j)
(7.6000000000000005+0j),(-3.258497837354927e-05-2.1880012763727117e-13j),(-3.258497837354927e-05-2.1880012763727117e-13j),(30688.987684329604+0j)
(7.7+0j),(-2.715978411445951e-05-2.8416871016197134e-14j),(-2.715978411445951e-05-2.8416871016197134e-14j),(36819.14391460914+0j)
(7.800000000000001+0j),(-1.9424205620544584e-05+2.6805625319895126e-13j),(-1.9424205620544584e-05+2.6805625319895126e-13j),(51482.15682716623+0j)
(7.9+0j),(-1.0556498287888143e-05-1.490784919634958e-14j),(-1.0556498287888143e-05-1.490784919634958e-14j),(94728.38177289686+0j)
(8+0j),(-5.00755660138451e-06-3.269491251044213e-13j),(-5.00755660138451e-06-3.269491251044213e-13j),(199698.1920730593+0j)
(8.1+0j),(-1.0177979619028255e-05-6.953159567311863e-14j),(-1.0177979619028255e-05-6.953159567311863e-14j),(98251.32663170682+0j)
(8.200000000000001+0j),(-1.7945959349632038e-05-1.224660041059054e-13j),(-1.7945959349632038e-05-1.224660041059054e-13j),(55722.849947306044+0j)
(8.3+0j),(-2.5421641413001284e-05+4.4358958135510726e-14j),(-2.5421641413001284e-05+4.4358958135510726e-14j),(39336.56303910314+0j)
(8.4+0j),(-3.1616855510409215e-05+1.7764509675262581e-13j),(-3.1616855510409215e-05+1.7764509675262581e-13j),(31628.698801839102+0j)
(8.5+0j),(-3.649651843127664e-05+1.7562958856186463e-13j),(-3.649651843127664e-05+1.7562958856186463e-13j),(27399.8738231158+0j)
(8.6+0j),(-4.0237040266399835e-05+2.60955884366039e-13j),(-4.0237040266399835e-05+2.60955884366039e-13j),(24852.722600351288+0j)
(8.700000000000001+0j),(-4.298544035504195e-05-1.7610945618322794e-13j),(-4.298544035504195e-05-1.7610945618322794e-13j),(23263.690955365673+0j)
(8.8+0j),(-4.4822547992254776e-05+1.9654154419765385e-13j),(-4.4822547992254776e-05+1.9654154419765385e-13j),(22310.199772061096+0j)
(8.9+0j),(-4.5770821662611414e-05+9.245322160252759e-14j),(-4.5770821662611414e-05+9.245322160252759e-14j),(21847.980081530088+0j)
(9+0j),(-4.580645319578725e-05+2.2834131993174198e-14j),(-4.580645319578725e-05+2.2834131993174198e-14j),(21830.985161103206+0j)
(9.1+0j),(-4.4872016676475806e-05+1.1068102441377851e-14j),(-4.4872016676475806e-05+1.1068102441377851e-14j),(22285.60412628503+0j)
(9.200000000000001+0j),(-4.2896032034405494e-05+3.271749315713034e-14j),(-4.2896032034405494e-05+3.271749315713034e-14j),(23312.179532081966+0j)
(9.3+0j),(-3.982883766606775e-05+1.1197541357496987e-13j),(-3.982883766606775e-05+1.1197541357496987e-13j),(25107.436184409464+0j)
(9.4+0j),(-3.570187079041475e-05-9.681955492047814e-15j),(-3.570187079041475e-05-9.681955492047814e-15j),(28009.73668496051+0j)
(9.5+0j),(-3.0703210812449346e-05-7.838666509255207e-14j),(-3.0703210812449346e-05-7.838666509255207e-14j),(32569.883524837285+0j)
(9.600000000000001+0j),(-2.5227651260296875e-05-3.11871085947451e-14j),(-2.5227651260296875e-05-3.11871085947451e-14j),(39639.04485923325+0j)
(9.700000000000001+0j),(-1.980740529110786e-05-7.523215558008444e-14j),(-1.980740529110786e-05-7.523215558008444e-14j),(50486.168445744384+0j)
(9.8+0j),(-1.4773100200935391e-05+2.9909275884707436e-14j),(-1.4773100200935391e-05+2.9909275884707436e-14j),(67690.59888571546+0j)
(9.9+0j),(-9.5590455005871e-06+2.128161169301272e-14j),(-9.5590455005871e-06+2.128161169301272e-14j),(104612.95533519343+0j)
(10+0j),(-5.260077640824083e-06-3.4113072709482435e-14j),(-5.260077640824083e-06-3.4113072709482435e-14j),(190111.2622823059+0j)
