xi,lambda_1,lambda_1_degen,T_X
0j,(-4.714310117219091e-07-1.904423586128681e-13j),(-4.714310117219091e-07-1.904423586128681e-13j),(2121201.1410693675+0j)
(0.1+0j),(-2.1693647820820215e-06+7.705890597296233e-14j),(-2.1693647820820215e-06+7.705890597296233e-14j),(460964.4298918977+0j)
(0.2+0j),(-6.844519528724602e-06-2.370810797080722e-13j),(-6.844519528724602e-06-2.370810797080722e-13j),(146102.29334627066+0j)
(0.30000000000000004+0j),(-1.389792434214435e-05-2.6955262501881063e-13j),(-1.389792434214435e-05-2.6955262501881063e-13j),(71953.19066226167+0j)
(0.4+0j),(-2.2822323037331086e-05+3.169997667015861e-14j),(-2.2822323037331086e-05+3.169997667015861e-14j),(43816.74899458189+0j)
(0.5+0j),(-3.3079735899439774e-05+4.168301685145411e-14j),(-3.3079735899439774e-05+4.168301685145411e-14j),(30229.987417068092+0j)
(0.6000000000000001+0j),(-4.399227315367683e-05+1.0334104721528856e-13j),(-4.399227315367683e-05+1.0334104721528856e-13j),(22731.264567910173+0j)
(0.7000000000000001+0j),(-5.4647793932095705e-05-8.772614237242957e-14j),(-5.4647793932095705e-05-8.772614237242957e-14j),(18299.000344690598+0j)
(0.8+0j),(-6.384736676304249e-05+2.8283801486006902e-14j),(-6.384736676304249e-05+2.8283801486006902e-14j),(15662.353056960237+0j)
(0.9+0j),(-7.015952514170243e-05-7.258098534777807e-16j),(-7.015952514170243e-05-7.258098534777807e-16j),(14253.23215885915+0j)
(1+0j),(-7.217286218596614e-05+7.107766782581786e-14j),(-7.217286218596614e-05+7.107766782581786e-14j),(13855.623425648871+0j)
(1.1+0j),(-6.898370923075189e-05+4.400218930903501e-14j),(-6.898370923075189e-05+4.400218930903501e-14j),(14496.176142906146+0j)
(1.2000000000000002+0j),(-6.075185315508213e-05+6.689253890383779e-14j),(-6.075185315508213e-05+6.689253890383779e-14j),(16460.403231606542+0j)
(1.3+0j),(-4.8919176443856843e-05-1.394450177401566e-13j),(-4.8919176443856843e-05-1.394450177401566e-13j),(20441.881337631916+0j)
(1.4000000000000001+0j),(-3.5772850773697635e-05-1.8154985720113397e-13j),(-3.5772850773697635e-05-1.8154985720113397e-13j),(27954.16016257951+0j)
(1.5+0j),(-2.355955944419419e-05-1.2815127812709122e-13j),(-2.355955944419419e-05-1.2815127812709122e-13j),(42445.615435581974+0j)
(1.6+0j),(-1.3755546039303193e-05-3.1590151258096965e-13j),(-1.3755546039303193e-05-3.1590151258096965e-13j),(72697.95013173149+0j)
(1.7000000000000002+0j),(-6.87400463198878e-06-1.5691509484754917e-13j),(-6.87400463198878e-06-1.5691509484754917e-13j),(145475.6075296215+0j)
(1.8+0j),(-2.703067848439927e-06-1.6985277077449366e-13j),(-2.703067848439927e-06-1.6985277077449366e-13j),(369950.01830129756+0j)
(1.9000000000000001+0j),(-6.673102754742749e-07+7.37799552289316e-14j),(-6.673102754742749e-07+7.37799552289316e-14j),(1498553.2768685059+0j)
(2+0j),(-1.1036984639478864e-07+2.0962351203381474e-14j),(-1.1036984639478864e-07+2.0962351203381474e-14j),(9060445.698393373+0j)
(2.1+0j),(-4.5123332340138e-07-4.729772992691174e-15j),(-4.5123332340138e-07-4.729772992691174e-15j),(2216148.382974106+0j)
(2.2+0j),(-1.2440551858932577e-06+6.689643610426335e-14j),(-1.2440551858932577e-06+6.689643610426335e-14j),(803822.8619914309+0j)
(2.3000000000000003+0j),(-2.1834713837886148e-06+7.787884070126544e-14j),(-2.1834713837886148e-06+7.787884070126544e-14j),(457986.3090602389+0j)
(2.4000000000000004+0j),(-3.085419320484091e-06-1.6323530224503678e-14j),(-3.085419320484091e-06-1.6323530224503678e-14j),(324105.0554655578+0j)
(2.5+0j),(-3.860033959020926e-06+3.7954191477692304e-13j),(-3.860033959020926e-06+3.7954191477692304e-13j),(259065.07834289724+0j)
(2.6+0j),(-4.484422623270787e-06+2.8108209059515424e-13j),(-4.484422623270787e-06+2.8108209059515424e-13j),(222994.14752096526+0j)
(2.7+0j),(-4.9784543990381395e-06+2.2690459595461044e-14j),(-4.9784543990381395e-06+2.2690459595461044e-14j),(200865.55381389146+0j)
(2.8000000000000003+0j),(-5.3844901352476896e-06+2.711180213669635e-14j),(-5.3844901352476896e-06+2.711180213669635e-14j),(185718.60563990046+0j)
(2.9000000000000004+0j),(-5.750838018314467e-06+3.9504849466456586e-13j),(-5.750838018314467e-06+3.9504849466456586e-13j),(173887.70068211615+0j)
(3+0j),(-6.1179932760049936e-06-2.4070040425983597e-13j),(-6.1179932760049936e-06-2.4070040425983597e-13j),(163452.28817462723+0j)
(3.1+0j),(-6.505917590405422e-06+1.7374431459852944e-14j),(-6.505917590405422e-06+1.7374431459852944e-14j),(153706.21993041327+0j)
(3.2+0j),(-6.899712833261585e-06+2.84236594615661e-13j),(-6.899712833261585e-06+2.84236594615661e-13j),(144933.5681304416+0j)
(3.3000000000000003+0j),(-7.230551845342634e-06-1.0264218901911167e-13j),(-7.230551845342634e-06-1.0264218901911167e-13j),(138302.030244638+0j)
(3.4000000000000004+0j),(-7.351816991545579e-06+1.944406642319132e-14j),(-7.351816991545579e-06+1.944406642319132e-14j),(136020.7961038716+0j)
(3.5+0j),(-7.027350785999745e-06-1.6793391592049842e-13j),(-7.027350785999745e-06-1.6793391592049842e-13j),(142301.1360116322+0j)
(3.6+0j),(-5.995814824972439e-06-8.560435170096822e-14j),(-5.995814824972439e-06-8.560435170096822e-14j),(166783.00267630373+0j)
(3.7+0j),(-4.211059691806578e-06+1.2500853346611255e-15j),(-4.211059691806578e-06+1.2500853346611255e-15j),(237469.91806971803+0j)
(3.8000000000000003+0j),(-2.147158045431921e-06+2.9969184717572015e-13j),(-2.147158045431921e-06+2.9969184717572015e-13j),(465731.90181668283+0j)
(3.9000000000000004+0j),(-6.240724987509385e-07-2.1638042454430045e-13j),(-6.240724987509385e-07-2.1638042454430045e-13j),(1602377.932053517+0j)
(4+0j),(-1.120959300240035e-07-2.001440861680389e-13j),(-1.120959300240035e-07-2.001440861680389e-13j),(8920930.49039217+0j)
(4.1000000000000005+0j),(-4.7316362087782915e-07-2.208781752104399e-13j),(-4.7316362087782915e-07-2.208781752104399e-13j),(2113433.8226272897+0j)
(4.2+0j),(-1.3134307655827166e-06-1.1191417575956376e-13j),(-1.3134307655827166e-06-1.1191417575956376e-13j),(761364.8364299888+0j)
(4.3+0j),(-2.29600984446275e-06+3.81237493076461e-14j),(-2.29600984446275e-06+3.81237493076461e-14j),(435538.2022475574+0j)
(4.4+0j),(-3.2125455599880194e-06-3.1030570606614054e-13j),(-3.2125455599880194e-06-3.1030570606614054e-13j),(311279.6320945342+0j)
(4.5+0j),(-3.951895410115173e-06-3.22931082072265e-14j),(-3.951895410115173e-06-3.22931082072265e-14j),(253043.134046621+0j)
(4.6000000000000005+0j),(-4.46208447889602e-06+2.114233177277005e-13j),(-4.46208447889602e-06+2.114233177277005e-13j),(224110.5036737031+0j)
(4.7+0j),(-4.727296522195943e-06+1.174892583519373e-13j),(-4.727296522195943e-06+1.174892583519373e-13j),(211537.39675620687+0j)
(4.800000000000001+0j),(-4.7566236277761225e-06-4.046259236103003e-14j),(-4.7566236277761225e-06-4.046259236103003e-14j),(210233.15659463534+0j)
(4.9+0j),(-4.578485908724398e-06+2.2153519958372344e-13j),(-4.578485908724398e-06+2.2153519958372344e-13j),(218412.81592556168+0j)
(5+0j),(-4.23649282666209e-06-1.5194786359108003e-13j),(-4.23649282666209e-06-1.5194786359108003e-13j),(236044.3038417451+0j)
(5.1000000000000005+0j),(-3.7845608916097187e-06+4.803873482177409e-14j),(-3.7845608916097187e-06+4.803873482177409e-14j),(264231.44682834303+0j)
(5.2+0j),(-3.2806619196339582e-06-2.52504701167037e-14j),(-3.2806619196339582e-06-2.52504701167037e-14j),(304816.535350761+0j)
(5.300000000000001+0j),(-2.7796775882674895e-06+1.1261939110290602e-13j),(-2.7796775882674895e-06+1.1261939110290602e-13j),(359753.9528400046+0j)
(5.4+0j),(-2.3262462751391664e-06+1.1906333592193085e-13j),(-2.3262462751391664e-06+1.1906333592193085e-13j),(429877.0988639952+0j)
(5.5+0j),(-1.9479293122600315e-06+1.8023100707936328e-13j),(-1.9479293122600315e-06+1.8023100707936328e-13j),(513365.65126163507+0j)
(5.6000000000000005+0j),(-1.6469176045695108e-06-1.8149753383145711e-13j),(-1.6469176045695108e-06-1.8149753383145711e-13j),(607194.9180854077+0j)
(5.7+0j),(-1.3838180684487099e-06+2.836016819341863e-14j),(-1.3838180684487099e-06+2.836016819341863e-14j),(722638.3458925505+0j)
(5.800000000000001+0j),(-1.0458925453041032e-06+3.936617052211471e-13j),(-1.0458925453041032e-06+3.936617052211471e-13j),(956121.166069924+0j)
(5.9+0j),(-4.973872431904778e-07-1.2216630705766388e-13j),(-4.973872431904778e-07-1.2216630705766388e-13j),(2010505.9260979947+0j)
(6+0j),(-1.16825816206426e-07+1.733756703741486e-13j),(-1.16825816206426e-07+1.733756703741486e-13j),(8559751.880808987+0j)
(6.1000000000000005+0j),(-4.5429785995790866e-07+1.0996081082428433e-13j),(-4.5429785995790866e-07+1.0996081082428433e-13j),(2201199.0109146703+0j)
(6.2+0j),(-1.0403985969108992e-06+1.6816400493918768e-13j),(-1.0403985969108992e-06+1.6816400493918768e-13j),(961170.0774771816+0j)
(6.300000000000001+0j),(-1.5577600859770534e-06+3.5564923512587616e-14j),(-1.5577600859770534e-06+3.5564923512587616e-14j),(641947.3762371971+0j)
(6.4+0j),(-1.9828850704403e-06+4.1428885236995726e-14j),(-1.9828850704403e-06+4.1428885236995726e-14j),(504315.6635285725+0j)
(6.5+0j),(-2.3352648326988367e-06+2.49721161548275e-13j),(-2.3352648326988367e-06+2.49721161548275e-13j),(428216.95680841146+0j)
(6.6000000000000005+0j),(-2.6268170273677267e-06+1.343715547014528e-13j),(-2.6268170273677267e-06+1.343715547014528e-13j),(380688.8677747293+0j)
(6.7+0j),(-2.8610343954291918e-06+1.395635017290633e-13j),(-2.8610343954291918e-06+1.395635017290633e-13j),(349523.9349787639+0j)
(6.800000000000001+0j),(-3.035692330410221e-06-3.9059577523092455e-14j),(-3.035692330410221e-06-3.9059577523092455e-14j),(329414.1471394986+0j)
(6.9+0j),(-3.144156581671335e-06-9.84273001062686e-14j),(-3.144156581671335e-06-9.84273001062686e-14j),(318050.3177956969+0j)
(7+0j),(-3.175951365393158e-06+5.667024140109648e-15j),(-3.175951365393158e-06+5.667024140109648e-15j),(314866.2825560013+0j)
(7.1000000000000005+0j),(-3.11776712815582e-06-9.148805542752476e-14j),(-3.11776712815582e-06-9.148805542752476e-14j),(320742.364293098+0j)
(7.2+0j),(-2.9561624868754334e-06+2.8308151722969233e-13j),(-2.9561624868754334e-06+2.8308151722969233e-13j),(338276.398689088+0j)
(7.300000000000001+0j),(-2.683126796867769e-06-1.5286762982550355e-14j),(-2.683126796867769e-06-1.5286762982550355e-14j),(372699.49417499796+0j)
(7.4+0j),(-2.304570178502722e-06-1.1279726390240285e-14j),(-2.304570178502722e-06-1.1279726390240285e-14j),(433920.39406224526+0j)
(7.5+0j),(-1.8489437000273347e-06+8.708450821371309e-14j),(-1.8489437000273347e-06+8.708450821371309e-14j),(540849.3508943599+0j)
