xi,lambda_1,lambda_1_degen,T_X
(7.6000000000000005+0j),(-1.3693267568916077e-06-1.8757738330143566e-13j),(-1.3693267568916077e-06-1.8757738330143566e-13j),(730285.8831664219+0j)
(7.7+0j),(-9.316656587320416e-07+1.065315664417916e-13j),(-9.316656587320416e-07+1.065315664417916e-13j),(1073346.420604317+0j)
(7.800000000000001+0j),(-5.870971017426853e-07+1.2332017060368469e-13j),(-5.870971017426853e-07+1.2332017060368469e-13j),(1703295.753005238+0j)
(7.9+0j),(-3.235973053028825e-07+9.737730908731348e-14j),(-3.235973053028825e-07+9.737730908731348e-14j),(3090260.5912123225+0j)
(8+0j),(-1.1725126026304447e-07-4.6146209944404035e-14j),(-1.1725126026304447e-07-4.6146209944404035e-14j),(8528692.977427915+0j)
(8.1+0j),(-3.298241132766976e-07+1.9240187457466452e-13j),(-3.298241132766976e-07+1.9240187457466452e-13j),(3031919.01303188+0j)
(8.200000000000001+0j),(-5.796434530917681e-07+2.613396409261931e-13j),(-5.796434530917681e-07+2.613396409261931e-13j),(1725198.4727267881+0j)
(8.3+0j),(-8.098529328483728e-07+2.030075540072424e-13j),(-8.098529328483728e-07+2.030075540072424e-13j),(1234792.095501651+0j)
(8.4+0j),(-1.0271363535751772e-06-8.522036057185787e-14j),(-1.0271363535751772e-06-8.522036057185787e-14j),(973580.5733282411+0j)
(8.5+0j),(-1.2197038216423014e-06+8.924966889564342e-14j),(-1.2197038216423014e-06+8.924966889564342e-14j),(819871.1705711674+0j)
(8.6+0j),(-1.3764269903642036e-06+1.849042593459181e-13j),(-1.3764269903642036e-06+1.849042593459181e-13j),(726518.7380083264+0j)
(8.700000000000001+0j),(-1.4908535147107514e-06+5.676011498504248e-14j),(-1.4908535147107514e-06+5.676011498504248e-14j),(670756.7109261003+0j)
(8.8+0j),(-1.561286780112254e-06+1.0715521542182781e-13j),(-1.561286780112254e-06+1.0715521542182781e-13j),(640497.3210162591+0j)
(8.9+0j),(-1.5900068772861301e-06-1.9571343286164494e-13j),(-1.5900068772861301e-06-1.9571343286164494e-13j),(628928.0972839746+0j)
(9+0j),(-1.5822473640977412e-06+4.112639731419642e-14j),(-1.5822473640977412e-06+4.112639731419642e-14j),(632012.4290870529+0j)
(9.1+0j),(-1.544978228350678e-06-2.1634681741297277e-13j),(-1.544978228350678e-06-2.1634681741297277e-13j),(647258.3118970792+0j)
(9.200000000000001+0j),(-1.4854100362571285e-06-6.140441467319597e-14j),(-1.4854100362571285e-06-6.140441467319597e-14j),(673214.7862146916+0j)
(9.3+0j),(-1.4090875307893852e-06+2.143330960803014e-13j),(-1.4090875307893852e-06+2.143330960803014e-13j),(709679.1208135877+0j)
(9.4+0j),(-1.3174249719590792e-06-3.248894196596001e-13j),(-1.3174249719590792e-06-3.248894196596001e-13j),(759056.5089357219+0j)
(9.5+0j),(-1.2045918963959893e-06-1.5645136221749897e-13j),(-1.2045918963959893e-06-1.5645136221749897e-13j),(830156.6721409081+0j)
(9.600000000000001+0j),(-1.0545878569475648e-06-3.009465605580237e-14j),(-1.0545878569475648e-06-3.009465605580237e-14j),(948237.7342125238+0j)
(9.700000000000001+0j),(-8.438200662166969e-07+7.598865427999386e-14j),(-8.438200662166969e-07+7.598865427999386e-14j),(1185086.7738705748+0j)
(9.8+0j),(-5.658628544108669e-07+1.831445860564291e-13j),(-5.658628544108669e-07+1.831445860564291e-13j),(1767212.6597550276+0j)
(9.9+0j),(-2.8484380181748195e-07-1.1845426007262087e-13j),(-2.8484380181748195e-07-1.1845426007262087e-13j),(3510696.0152173694+0j)
(10+0j),(-1.2340664683202826e-07-2.860523696858839e-13j),(-1.2340664683202826e-07-2.860523696858839e-13j),(8103291.238122076+0j)
