0j
(-0.05+1j)
(-0.05-1j)
(-0.1+0j)
(-0.10000000000000003+2j)
(-0.10000000000000003-2j)
(-0.15+3j)
(-0.15-3j)
(-0.15000000000000002+1j)
(-0.15000000000000002-1j)
(-0.19999999999999998+2j)
(-0.19999999999999998-2j)
(-0.2-4j)
(-0.2+4j)
(-0.20000000000000007+0j)
(-0.25+1j)
(-0.25+3j)
(-0.25-1j)
(-0.25-3j)
(-0.25000000000000006+5j)
(-0.25000000000000006-5j)
(-0.3+0j)
(-0.3+6j)
(-0.3-6j)
(-0.30000000000000004-2j)
(-0.30000000000000004+4j)
(-0.30000000000000004+2j)
(-0.30000000000000004-4j)
(-0.35-5j)
(-0.35+5j)
(-0.35000000000000003-1j)
(-0.35000000000000003+1j)
(-0.3500000000000001+3j)
(-0.3500000000000001-7j)
(-0.3500000000000001-3j)
(-0.3500000000000001+7j)
(-0.4+0j)
(-0.4-6j)
(-0.4-2j)
(-0.4-4j)
(-0.4+6j)
(-0.4+2j)
(-0.4+4j)
(-0.40000000000000013-8j)
(-0.40000000000000013+8j)
(-0.44999999999999996-3j)
(-0.44999999999999996+3j)
(-0.45+9j)
(-0.45+1j)
(-0.45-9j)
(-0.45-1j)
(-0.4500000000000001-5j)
(-0.4500000000000001+7j)
(-0.4500000000000001-7j)
(-0.4500000000000001+5j)
(-0.5-8j)
(-0.5-2j)
(-0.5-4j)
(-0.5+8j)
(-0.5+4j)
(-0.5+2j)
(-0.5000000000000001+0j)
(-0.5000000000000001+6j)
(-0.5000000000000001-6j)
(-0.55-7j)
(-0.55+7j)
(-0.55-1j)
(-0.55+3j)
(-0.55+1j)
(-0.55-3j)
(-0.5500000000000002-5j)
(-0.5500000000000002+5j)
(-0.6+0j)
(-0.6000000000000001-6j)
(-0.6000000000000001+2j)
(-0.6000000000000001-2j)
(-0.6000000000000001+4j)
(-0.6000000000000001-4j)
(-0.6000000000000001+6j)
(-0.65-5j)
(-0.65+5j)
(-0.65-1j)
(-0.65+1j)
(-0.6500000000000002-3j)
(-0.6500000000000002+3j)
(-0.7000000000000001+2j)
(-0.7000000000000001-2j)
(-0.7000000000000001-4j)
(-0.7000000000000001+4j)
(-0.7000000000000002+0j)
(-0.75+3j)
(-0.75-3j)
(-0.7500000000000002+1j)
(-0.7500000000000002-1j)
(-0.8-2j)
(-0.8+2j)
(-0.8000000000000003+0j)
(-0.8500000000000001+1j)
(-0.8500000000000001-1j)
(-0.9+0j)
