(-0.05-1j)
(-0.05021869548656117+0.9974940612789968j)
(-0.05087616988449806+0.9900033677306763j)
(-0.05197653135779564+0.9776093254756522j)
(-0.053526437573011086-0.960447691164845j)
(-0.0555347990534496+0.9387085246205474j)
(-0.058012340238674374+0.912635790111429j)
(-0.060970999338564646+0.8825262801232175j)
(-0.06442315040243007+0.8487274572840734j)
(-0.06838064035774513-0.8116337531290454j)
(-0.07285365199619312-0.7716808404267652j)
(-0.07784943169463318+0.7293374243983158j)
(-0.08337095637645374+0.6850941895066046j)
(-0.08941565266312246+0.6394496937290637j)
(-0.09597431328907366+0.5928931997114608j)
(-0.10303036998013045-0.545884613864952j)
(-0.11055966708035525-0.4988317580881962j)
(-0.118530830633997+0.45206492877733695j)
(-0.12690624763463224-0.405807750485291j)
(-0.1302601911750527-4.68409277759425j)
(-0.1335713064926127-4.825876560288396j)
(-0.12989194293216622-1.937760255016242e-12j)
(-0.12463102019652088-1.5962303233672355e-12j)
(-0.11948677421623133+2.858430104275726e-13j)
(-0.1145304317906206+8.458346178510807e-13j)
(-0.10981854411134068-2.188268661931592e-14j)
(-0.09078639615777215+9.02383909287566e-14j)
(-0.06010496967525231+2.0433394831792756e-14j)
(-0.0415644764303268-1.6529669054663046e-14j)
(-0.02928568642847232-6.546296877814873e-15j)
(-0.020835510571137507-2.3468087895001686e-14j)
(-0.014906879917518516-1.3704109101585588e-14j)
(-0.01070383219571955-4.6665619994259924e-14j)
(-0.007706977958290673+2.950218741492548e-15j)
(-0.00556347668071941-2.0516742453688564e-14j)
(-0.00402781189299392+7.367429488161083e-14j)
(-0.0029266864531449664-4.854143977872655e-14j)
(-0.0021367542035467613-6.155560103450716e-14j)
(-0.0015698153489071677-4.083628540323606e-14j)
(-0.001162657658962925+7.441518650740086e-14j)
(-0.000869940187450214+4.033681428779568e-14j)
(-0.0006591432199247407+3.1139906991809785e-14j)
(-0.0005069567096035627-4.1406636924037153e-14j)
(-0.0003966865167993307-5.661138049092549e-14j)
(-0.00031638801963942937+6.76335158127638e-14j)
(-0.00025752250670297173-1.7095502472006332e-13j)
(-0.00021399035731642913+6.676755479525466e-14j)
(-0.00018143603513929492+1.2631803622741644e-13j)
(-0.00015674911288045124+1.2288977981337854e-14j)
(-0.0001377065319249049+5.325090677295984e-14j)
(-0.00012271648710245446+4.530475244179286e-14j)
(-0.00011063534607823665-1.354567925247565e-13j)
(-0.00010063702581530575-1.7063092298169595e-13j)
(-9.212009090972798e-05-1.3549021314908658e-14j)
(-8.464210294407401e-05+5.0320776340770246e-14j)
(-7.787387710176435e-05+2.883464920176095e-14j)
(-7.156857285769961e-05+3.61634007765094e-14j)
(-6.554214452121893e-05+9.327728630576053e-15j)
(-5.966264993273275e-05+8.891413119906216e-14j)
(-5.3846248608913504e-05+1.8071264158163433e-14j)
(-4.805738563580549e-05-2.4136613954131852e-14j)
(-4.2309835848690836e-05+4.398191247337771e-14j)
(-3.66645523140081e-05-1.0201650085457548e-13j)
(-3.1220627048175295e-05-1.5565513382786036e-14j)
(-2.6097969018535468e-05+2.13362272641622e-14j)
(-2.1414227162172155e-05+4.007077263143777e-14j)
(-1.7262034584393e-05+3.3878129886885486e-14j)
(-1.3693386077576607e-05-4.00513396108145e-14j)
(-1.0715076599622697e-05-2.0056185859668363e-14j)
(-8.294536123627274e-06-6.757708037825575e-14j)
(-6.3719406985141625e-06-1.8933439654922604e-14j)
(-4.873699674339462e-06+1.3090394670296332e-14j)
(-3.7237791427816265e-06-6.198821989899363e-14j)
(-2.8513583098105434e-06-1.210792494297012e-13j)
(-2.1948998282314845e-06-6.69076066523343e-14j)
(-1.7034997238460887e-06-5.3808378894441665e-14j)
(-1.3365297668807127e-06+3.1167643898498374e-15j)
(-1.062407176183598e-06+5.1605568246792815e-14j)
(-8.570546127811936e-07-4.3972698173661904e-14j)
(-7.02378861923242e-07-8.737529700655375e-14j)
(-5.849252223591218e-07-3.9215373111785594e-14j)
(-4.947629610553544e-07-5.4107222319931783e-14j)
(-4.2459849984186074e-07-3.3566378093749497e-14j)
(-3.6908995550081096e-07-3.193963411615058e-14j)
(-3.243291807152301e-07-3.033422916400769e-14j)
(-2.8745492671459953e-07+1.0715114395725868e-14j)
(-2.563687661449442e-07-1.047798469058679e-13j)
(-2.2952827134564052e-07+4.323124848683731e-14j)
(-2.0579968653496677e-07-7.916836064229551e-14j)
(-1.8435478780604005e-07-1.356224890502552e-14j)
(-1.6460046484679016e-07-7.438426400492792e-14j)
(-1.4613258464707184e-07-8.75075494098488e-14j)
(-1.2870529298156093e-07-4.425627121146885e-14j)
(-1.1220865272368019e-07-1.1992799540193762e-13j)
(-9.664686226057369e-08-5.1244242778092106e-14j)
(-8.210993194011513e-08-2.7971443290239268e-14j)
(-6.873814614857277e-08+2.4587888660844716e-14j)
(-5.66800540244549e-08+1.6161856512052824e-14j)
(-4.6053458543763305e-08-1.19662918671513e-14j)
(-3.691498431526881e-08+9.26942320586322e-14j)
(-2.9248097752245162e-08-1.7920020723107506e-14j)
